nohup: ignoring input
[1] order5big_0014: THEOREM (60.4s)  running={'THEOREM': 1}
[55] order5big_1063: THEOREM (60.5s)  running={'THEOREM': 53, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[56] order5big_1080: THEOREM (60.7s)  running={'THEOREM': 54, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[57] order5big_1104: THEOREM (60.2s)  running={'THEOREM': 55, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[58] order5big_1125: THEOREM (60.3s)  running={'THEOREM': 56, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[59] order5big_1143: THEOREM (60.2s)  running={'THEOREM': 57, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[60] order5big_1163: THEOREM (60.2s)  running={'THEOREM': 58, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[61] order5big_1182: THEOREM (60.2s)  running={'THEOREM': 59, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[62] order5big_1209: THEOREM (60.2s)  running={'THEOREM': 60, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[63] order5big_1219: THEOREM (73.2s)  running={'THEOREM': 61, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[64] order5big_1241: THEOREM (60.2s)  running={'THEOREM': 62, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[65] order5big_1261: THEOREM (60.3s)  running={'THEOREM': 63, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[66] order5big_1295: THEOREM (60.2s)  running={'THEOREM': 64, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[67] order5big_1310: THEOREM (60.3s)  running={'THEOREM': 65, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[68] order5big_1328: THEOREM (60.2s)  running={'THEOREM': 66, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[69] order5big_1358: THEOREM (60.2s)  running={'THEOREM': 67, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[70] order5big_1368: THEOREM (60.2s)  running={'THEOREM': 68, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[71] order5big_1387: THEOREM (60.6s)  running={'THEOREM': 69, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[72] order5big_1402: THEOREM (60.4s)  running={'THEOREM': 70, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[73] order5big_1418: THEOREM (60.2s)  running={'THEOREM': 71, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[74] order5big_1434: THEOREM (60.6s)  running={'THEOREM': 72, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[75] order5big_1468: THEOREM (60.2s)  running={'THEOREM': 73, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[76] order5big_1486: THEOREM (60.2s)  running={'THEOREM': 74, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[77] order5big_1512: THEOREM (60.2s)  running={'THEOREM': 75, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[78] order5big_1531: THEOREM (60.2s)  running={'THEOREM': 76, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[79] order5big_1565: THEOREM (61.7s)  running={'THEOREM': 77, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[80] order5big_1584: THEOREM (60.3s)  running={'THEOREM': 78, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[81] order5big_1599: THEOREM (60.1s)  running={'THEOREM': 79, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[82] order5big_1612: THEOREM (60.5s)  running={'THEOREM': 80, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[83] order5big_1632: THEOREM (60.2s)  running={'THEOREM': 81, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[84] order5big_1650: THEOREM (60.2s)  running={'THEOREM': 82, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[85] order5big_1667: THEOREM (60.4s)  running={'THEOREM': 83, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[86] order5big_1688: THEOREM (60.1s)  running={'THEOREM': 84, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[87] order5big_1721: THEOREM (60.6s)  running={'THEOREM': 85, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[88] order5big_1733: THEOREM (63.5s)  running={'THEOREM': 86, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[89] order5big_1746: THEOREM (64.7s)  running={'THEOREM': 87, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[90] order5big_1762: THEOREM (61.1s)  running={'THEOREM': 88, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[91] order5big_1779: THEOREM (60.4s)  running={'THEOREM': 89, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[92] order5big_1794: THEOREM (60.2s)  running={'THEOREM': 90, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[93] order5big_1807: THEOREM (61.2s)  running={'THEOREM': 91, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[94] order5big_1830: THEOREM (60.2s)  running={'THEOREM': 92, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[95] order5big_1846: THEOREM (1.4s)  running={'THEOREM': 93, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[96] order5big_1875: THEOREM (60.2s)  running={'THEOREM': 94, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[97] order5big_1902: THEOREM (60.2s)  running={'THEOREM': 95, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[98] order5big_1917: THEOREM (60.2s)  running={'THEOREM': 96, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[99] order5big_1936: THEOREM (60.2s)  running={'THEOREM': 97, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[100] order5big_1954: THEOREM (60.7s)  running={'THEOREM': 98, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[101] order5big_1982: THEOREM (60.8s)  running={'THEOREM': 99, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[102] order5big_2000: THEOREM (60.3s)  running={'THEOREM': 100, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[103] order5big_2016: THEOREM (60.2s)  running={'THEOREM': 101, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[104] order5big_2037: THEOREM (60.2s)  running={'THEOREM': 102, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[105] order5big_2058: THEOREM (81.5s)  running={'THEOREM': 103, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[106] order5big_2072: THEOREM (60.2s)  running={'THEOREM': 104, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[107] order5big_2097: THEOREM (60.1s)  running={'THEOREM': 105, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[108] order5big_2122: THEOREM (39.8s)  running={'THEOREM': 106, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[109] order5big_2133: THEOREM (62.7s)  running={'THEOREM': 107, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[110] order5big_2152: THEOREM (60.2s)  running={'THEOREM': 108, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[111] order5big_2170: THEOREM (60.2s)  running={'THEOREM': 109, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[112] order5big_2186: THEOREM (60.6s)  running={'THEOREM': 110, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[113] order5big_2206: THEOREM (60.2s)  running={'THEOREM': 111, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[114] order5big_2230: THEOREM (60.2s)  running={'THEOREM': 112, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[115] order5big_2252: THEOREM (60.2s)  running={'THEOREM': 113, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[116] order5big_2263: THEOREM (72.2s)  running={'THEOREM': 114, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[117] order5big_2277: THEOREM (60.2s)  running={'THEOREM': 115, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[118] order5big_2294: THEOREM (5.3s)  running={'THEOREM': 116, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[119] order5big_2309: THEOREM (60.2s)  running={'THEOREM': 117, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[120] order5big_2324: THEOREM (73.2s)  running={'THEOREM': 118, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[121] order5big_2334: THEOREM (60.2s)  running={'THEOREM': 119, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[122] order5big_2356: THEOREM (60.1s)  running={'THEOREM': 120, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[123] order5big_2377: THEOREM (60.4s)  running={'THEOREM': 121, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[124] order5big_2394: THEOREM (60.2s)  running={'THEOREM': 122, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[125] order5big_2404: THEOREM (60.5s)  running={'THEOREM': 123, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[126] order5big_2425: THEOREM (60.2s)  running={'THEOREM': 124, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[127] order5big_2441: THEOREM (65.5s)  running={'THEOREM': 125, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[128] order5big_2460: THEOREM (60.3s)  running={'THEOREM': 126, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[129] order5big_2488: THEOREM (60.5s)  running={'THEOREM': 127, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[130] order5big_2509: THEOREM (60.3s)  running={'THEOREM': 128, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[131] order5big_2524: THEOREM (60.2s)  running={'THEOREM': 129, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[132] order5big_2540: THEOREM (62.8s)  running={'THEOREM': 130, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[133] order5big_2568: THEOREM (60.4s)  running={'THEOREM': 131, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[134] order5big_2591: THEOREM (60.2s)  running={'THEOREM': 132, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[135] order5big_2606: THEOREM (60.2s)  running={'THEOREM': 133, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[136] order5big_2625: THEOREM (60.3s)  running={'THEOREM': 134, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[137] order5big_2649: THEOREM (61.0s)  running={'THEOREM': 135, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[138] order5big_2665: THEOREM (60.6s)  running={'THEOREM': 136, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[139] order5big_2680: THEOREM (60.3s)  running={'THEOREM': 137, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[140] order5big_2695: THEOREM (60.2s)  running={'THEOREM': 138, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[141] order5big_2706: THEOREM (60.8s)  running={'THEOREM': 139, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[142] order5big_2731: THEOREM (60.2s)  running={'THEOREM': 140, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[143] order5big_2747: THEOREM (60.5s)  running={'THEOREM': 141, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[144] order5big_2766: THEOREM (61.4s)  running={'THEOREM': 142, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[145] order5big_2784: THEOREM (60.2s)  running={'THEOREM': 143, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[146] order5big_2796: THEOREM (60.2s)  running={'THEOREM': 144, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[147] order5big_2814: THEOREM (60.6s)  running={'THEOREM': 145, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[148] order5big_2829: THEOREM (60.6s)  running={'THEOREM': 146, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[149] order5big_2845: THEOREM (60.1s)  running={'THEOREM': 147, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[150] order5big_2868: THEOREM (60.2s)  running={'THEOREM': 148, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[151] order5big_2883: THEOREM (60.2s)  running={'THEOREM': 149, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[152] order5big_2898: THEOREM (60.2s)  running={'THEOREM': 150, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[153] order5big_2917: THEOREM (60.5s)  running={'THEOREM': 151, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[154] order5big_2934: THEOREM (60.7s)  running={'THEOREM': 152, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[155] order5big_2948: THEOREM (60.2s)  running={'THEOREM': 153, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[156] order5big_2963: THEOREM (60.2s)  running={'THEOREM': 154, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[157] order5big_2984: THEOREM (60.2s)  running={'THEOREM': 155, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[158] order5big_2998: THEOREM (60.2s)  running={'THEOREM': 156, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[159] order5big_3029: THEOREM (60.2s)  running={'THEOREM': 157, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[160] order5big_3041: THEOREM (60.2s)  running={'THEOREM': 158, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[161] order5big_3066: THEOREM (60.2s)  running={'THEOREM': 159, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[162] order5big_3093: THEOREM (60.6s)  running={'THEOREM': 160, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[163] order5big_3117: THEOREM (62.1s)  running={'THEOREM': 161, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[164] order5big_3139: THEOREM (60.2s)  running={'THEOREM': 162, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[165] order5big_3161: THEOREM (60.2s)  running={'THEOREM': 163, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[166] order5big_3185: THEOREM (60.2s)  running={'THEOREM': 164, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[167] order5big_3204: THEOREM (60.3s)  running={'THEOREM': 165, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[168] order5big_3217: THEOREM (60.2s)  running={'THEOREM': 166, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[169] order5big_3235: THEOREM (60.2s)  running={'THEOREM': 167, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[170] order5big_3253: THEOREM (60.2s)  running={'THEOREM': 168, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[171] order5big_3272: THEOREM (71.7s)  running={'THEOREM': 169, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[172] order5big_3299: THEOREM (60.2s)  running={'THEOREM': 170, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[173] order5big_3324: THEOREM (60.2s)  running={'THEOREM': 171, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[174] order5big_3345: THEOREM (4.7s)  running={'THEOREM': 172, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[175] order5big_3369: THEOREM (60.2s)  running={'THEOREM': 173, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[176] order5big_3392: THEOREM (60.1s)  running={'THEOREM': 174, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[177] order5big_3412: THEOREM (60.4s)  running={'THEOREM': 175, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[178] order5big_3436: THEOREM (45.5s)  running={'THEOREM': 176, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[179] order5big_3461: THEOREM (60.2s)  running={'THEOREM': 177, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[180] order5big_3477: THEOREM (60.2s)  running={'THEOREM': 178, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[181] order5big_3493: THEOREM (60.4s)  running={'THEOREM': 179, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[182] order5big_3511: THEOREM (73.3s)  running={'THEOREM': 180, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[183] order5big_3526: THEOREM (60.2s)  running={'THEOREM': 181, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[184] order5big_3542: THEOREM (60.2s)  running={'THEOREM': 182, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[185] order5big_3576: THEOREM (1.0s)  running={'THEOREM': 183, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[186] order5big_3596: THEOREM (60.2s)  running={'THEOREM': 184, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[187] order5big_3620: THEOREM (61.3s)  running={'THEOREM': 185, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[188] order5big_3659: SOLVED_FMB (0.1s)  running={'THEOREM': 185, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[189] order5big_3678: THEOREM (60.8s)  running={'THEOREM': 186, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[190] order5big_3695: THEOREM (60.2s)  running={'THEOREM': 187, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[191] order5big_3712: THEOREM (60.2s)  running={'THEOREM': 188, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[192] order5big_3732: THEOREM (60.1s)  running={'THEOREM': 189, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[193] order5big_3751: THEOREM (60.4s)  running={'THEOREM': 190, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[194] order5big_3770: THEOREM (60.7s)  running={'THEOREM': 191, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[195] order5big_3792: THEOREM (60.2s)  running={'THEOREM': 192, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[196] order5big_3817: THEOREM (60.6s)  running={'THEOREM': 193, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[197] order5big_3844: THEOREM (60.1s)  running={'THEOREM': 194, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[198] order5big_3856: THEOREM (60.3s)  running={'THEOREM': 195, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[199] order5big_3873: THEOREM (60.2s)  running={'THEOREM': 196, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[200] order5big_3889: THEOREM (60.5s)  running={'THEOREM': 197, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[201] order5big_3903: THEOREM (60.7s)  running={'THEOREM': 198, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[202] order5big_3916: THEOREM (60.2s)  running={'THEOREM': 199, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[203] order5big_3941: SOLVED_FMB (0.1s)  running={'THEOREM': 199, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[204] order5big_3959: HARD_NONLINEAR (120.1s)  running={'THEOREM': 199, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[205] order5big_3984: THEOREM (60.4s)  running={'THEOREM': 200, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[206] order5big_4003: THEOREM (60.2s)  running={'THEOREM': 201, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[207] order5big_4028: THEOREM (60.2s)  running={'THEOREM': 202, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[208] order5big_4045: THEOREM (60.2s)  running={'THEOREM': 203, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[209] order5big_4078: THEOREM (60.1s)  running={'THEOREM': 204, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[210] order5big_4101: THEOREM (60.2s)  running={'THEOREM': 205, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[211] order5big_4118: THEOREM (60.2s)  running={'THEOREM': 206, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[212] order5big_4130: THEOREM (60.1s)  running={'THEOREM': 207, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[213] order5big_4150: THEOREM (3.1s)  running={'THEOREM': 208, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[214] order5big_4165: THEOREM (60.2s)  running={'THEOREM': 209, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
[215] order5big_4180: THEOREM (60.2s)  running={'THEOREM': 210, 'HARD_NONLINEAR': 2, 'SOLVED_FMB': 3}
