nohup: ignoring input
[1] order5big_0008: LINEAR (0.0s)  running={'LINEAR': 1}
[43] order5big_0344: LINEAR (0.0s)  running={'LINEAR': 22, 'THEOREM': 20, 'SOLVED_FMB': 1}
[44] order5big_0352: LINEAR (0.0s)  running={'LINEAR': 23, 'THEOREM': 20, 'SOLVED_FMB': 1}
[45] order5big_0360: THEOREM (60.2s)  running={'LINEAR': 23, 'THEOREM': 21, 'SOLVED_FMB': 1}
[46] order5big_0368: THEOREM (60.5s)  running={'LINEAR': 23, 'THEOREM': 22, 'SOLVED_FMB': 1}
[47] order5big_0376: LINEAR (0.0s)  running={'LINEAR': 24, 'THEOREM': 22, 'SOLVED_FMB': 1}
[48] order5big_0384: LINEAR (0.0s)  running={'LINEAR': 25, 'THEOREM': 22, 'SOLVED_FMB': 1}
[49] order5big_0392: LINEAR (0.0s)  running={'LINEAR': 26, 'THEOREM': 22, 'SOLVED_FMB': 1}
[50] order5big_0400: LINEAR (0.0s)  running={'LINEAR': 27, 'THEOREM': 22, 'SOLVED_FMB': 1}
[51] order5big_0408: LINEAR (0.0s)  running={'LINEAR': 28, 'THEOREM': 22, 'SOLVED_FMB': 1}
[52] order5big_0416: THEOREM (60.2s)  running={'LINEAR': 28, 'THEOREM': 23, 'SOLVED_FMB': 1}
[53] order5big_0424: LINEAR (0.0s)  running={'LINEAR': 29, 'THEOREM': 23, 'SOLVED_FMB': 1}
[54] order5big_0432: LINEAR (0.0s)  running={'LINEAR': 30, 'THEOREM': 23, 'SOLVED_FMB': 1}
[55] order5big_0440: THEOREM (60.4s)  running={'LINEAR': 30, 'THEOREM': 24, 'SOLVED_FMB': 1}
[56] order5big_0448: LINEAR (0.0s)  running={'LINEAR': 31, 'THEOREM': 24, 'SOLVED_FMB': 1}
[57] order5big_0456: THEOREM (60.7s)  running={'LINEAR': 31, 'THEOREM': 25, 'SOLVED_FMB': 1}
[58] order5big_0464: LINEAR (0.0s)  running={'LINEAR': 32, 'THEOREM': 25, 'SOLVED_FMB': 1}
[59] order5big_0472: LINEAR (0.0s)  running={'LINEAR': 33, 'THEOREM': 25, 'SOLVED_FMB': 1}
[60] order5big_0480: LINEAR (0.0s)  running={'LINEAR': 34, 'THEOREM': 25, 'SOLVED_FMB': 1}
[61] order5big_0488: THEOREM (31.4s)  running={'LINEAR': 34, 'THEOREM': 26, 'SOLVED_FMB': 1}
[62] order5big_0496: LINEAR (0.0s)  running={'LINEAR': 35, 'THEOREM': 26, 'SOLVED_FMB': 1}
[63] order5big_0504: THEOREM (72.5s)  running={'LINEAR': 35, 'THEOREM': 27, 'SOLVED_FMB': 1}
[64] order5big_0512: THEOREM (60.6s)  running={'LINEAR': 35, 'THEOREM': 28, 'SOLVED_FMB': 1}
[65] order5big_0520: LINEAR (0.0s)  running={'LINEAR': 36, 'THEOREM': 28, 'SOLVED_FMB': 1}
[66] order5big_0528: THEOREM (60.4s)  running={'LINEAR': 36, 'THEOREM': 29, 'SOLVED_FMB': 1}
[67] order5big_0536: LINEAR (0.0s)  running={'LINEAR': 37, 'THEOREM': 29, 'SOLVED_FMB': 1}
[68] order5big_0544: LINEAR (0.0s)  running={'LINEAR': 38, 'THEOREM': 29, 'SOLVED_FMB': 1}
[69] order5big_0552: LINEAR (0.0s)  running={'LINEAR': 39, 'THEOREM': 29, 'SOLVED_FMB': 1}
[70] order5big_0560: LINEAR (0.0s)  running={'LINEAR': 40, 'THEOREM': 29, 'SOLVED_FMB': 1}
[71] order5big_0568: THEOREM (60.2s)  running={'LINEAR': 40, 'THEOREM': 30, 'SOLVED_FMB': 1}
[72] order5big_0576: LINEAR (0.0s)  running={'LINEAR': 41, 'THEOREM': 30, 'SOLVED_FMB': 1}
[73] order5big_0584: SOLVED_FMB (0.2s)  running={'LINEAR': 41, 'THEOREM': 30, 'SOLVED_FMB': 2}
[74] order5big_0592: LINEAR (0.0s)  running={'LINEAR': 42, 'THEOREM': 30, 'SOLVED_FMB': 2}
[75] order5big_0600: LINEAR (0.0s)  running={'LINEAR': 43, 'THEOREM': 30, 'SOLVED_FMB': 2}
[76] order5big_0608: LINEAR (0.0s)  running={'LINEAR': 44, 'THEOREM': 30, 'SOLVED_FMB': 2}
[77] order5big_0616: LINEAR (0.0s)  running={'LINEAR': 45, 'THEOREM': 30, 'SOLVED_FMB': 2}
[78] order5big_0624: LINEAR (0.0s)  running={'LINEAR': 46, 'THEOREM': 30, 'SOLVED_FMB': 2}
[79] order5big_0632: LINEAR (0.0s)  running={'LINEAR': 47, 'THEOREM': 30, 'SOLVED_FMB': 2}
[80] order5big_0640: THEOREM (60.2s)  running={'LINEAR': 47, 'THEOREM': 31, 'SOLVED_FMB': 2}
[81] order5big_0648: LINEAR (0.0s)  running={'LINEAR': 48, 'THEOREM': 31, 'SOLVED_FMB': 2}
[82] order5big_0656: THEOREM (60.6s)  running={'LINEAR': 48, 'THEOREM': 32, 'SOLVED_FMB': 2}
[83] order5big_0664: THEOREM (60.2s)  running={'LINEAR': 48, 'THEOREM': 33, 'SOLVED_FMB': 2}
[84] order5big_0672: THEOREM (60.2s)  running={'LINEAR': 48, 'THEOREM': 34, 'SOLVED_FMB': 2}
[85] order5big_0680: LINEAR (0.0s)  running={'LINEAR': 49, 'THEOREM': 34, 'SOLVED_FMB': 2}
[86] order5big_0688: LINEAR (0.0s)  running={'LINEAR': 50, 'THEOREM': 34, 'SOLVED_FMB': 2}
[87] order5big_0696: LINEAR (0.0s)  running={'LINEAR': 51, 'THEOREM': 34, 'SOLVED_FMB': 2}
[88] order5big_0704: THEOREM (60.3s)  running={'LINEAR': 51, 'THEOREM': 35, 'SOLVED_FMB': 2}
[89] order5big_0712: LINEAR (0.0s)  running={'LINEAR': 52, 'THEOREM': 35, 'SOLVED_FMB': 2}
[90] order5big_0720: THEOREM (60.2s)  running={'LINEAR': 52, 'THEOREM': 36, 'SOLVED_FMB': 2}
[91] order5big_0728: THEOREM (60.2s)  running={'LINEAR': 52, 'THEOREM': 37, 'SOLVED_FMB': 2}
[92] order5big_0736: THEOREM (60.2s)  running={'LINEAR': 52, 'THEOREM': 38, 'SOLVED_FMB': 2}
[93] order5big_0744: LINEAR (0.0s)  running={'LINEAR': 53, 'THEOREM': 38, 'SOLVED_FMB': 2}
[94] order5big_0752: LINEAR (0.0s)  running={'LINEAR': 54, 'THEOREM': 38, 'SOLVED_FMB': 2}
[95] order5big_0760: LINEAR (0.0s)  running={'LINEAR': 55, 'THEOREM': 38, 'SOLVED_FMB': 2}
[96] order5big_0768: THEOREM (60.2s)  running={'LINEAR': 55, 'THEOREM': 39, 'SOLVED_FMB': 2}
[97] order5big_0776: LINEAR (0.0s)  running={'LINEAR': 56, 'THEOREM': 39, 'SOLVED_FMB': 2}
[98] order5big_0784: THEOREM (60.2s)  running={'LINEAR': 56, 'THEOREM': 40, 'SOLVED_FMB': 2}
[99] order5big_0792: THEOREM (60.4s)  running={'LINEAR': 56, 'THEOREM': 41, 'SOLVED_FMB': 2}
[100] order5big_0800: THEOREM (60.2s)  running={'LINEAR': 56, 'THEOREM': 42, 'SOLVED_FMB': 2}
[101] order5big_0808: LINEAR (0.0s)  running={'LINEAR': 57, 'THEOREM': 42, 'SOLVED_FMB': 2}
[102] order5big_0816: THEOREM (60.3s)  running={'LINEAR': 57, 'THEOREM': 43, 'SOLVED_FMB': 2}
[103] order5big_0824: THEOREM (60.2s)  running={'LINEAR': 57, 'THEOREM': 44, 'SOLVED_FMB': 2}
[104] order5big_0832: THEOREM (60.1s)  running={'LINEAR': 57, 'THEOREM': 45, 'SOLVED_FMB': 2}
[105] order5big_0840: LINEAR (0.0s)  running={'LINEAR': 58, 'THEOREM': 45, 'SOLVED_FMB': 2}
[106] order5big_0848: THEOREM (60.2s)  running={'LINEAR': 58, 'THEOREM': 46, 'SOLVED_FMB': 2}
[107] order5big_0856: THEOREM (60.1s)  running={'LINEAR': 58, 'THEOREM': 47, 'SOLVED_FMB': 2}
[108] order5big_0864: LINEAR (0.0s)  running={'LINEAR': 59, 'THEOREM': 47, 'SOLVED_FMB': 2}
[109] order5big_0872: LINEAR (0.0s)  running={'LINEAR': 60, 'THEOREM': 47, 'SOLVED_FMB': 2}
[110] order5big_0880: LINEAR (0.0s)  running={'LINEAR': 61, 'THEOREM': 47, 'SOLVED_FMB': 2}
[111] order5big_0888: LINEAR (0.0s)  running={'LINEAR': 62, 'THEOREM': 47, 'SOLVED_FMB': 2}
[112] order5big_0896: LINEAR (0.0s)  running={'LINEAR': 63, 'THEOREM': 47, 'SOLVED_FMB': 2}
[113] order5big_0904: LINEAR (0.0s)  running={'LINEAR': 64, 'THEOREM': 47, 'SOLVED_FMB': 2}
[114] order5big_0912: LINEAR (0.0s)  running={'LINEAR': 65, 'THEOREM': 47, 'SOLVED_FMB': 2}
[115] order5big_0920: LINEAR (0.0s)  running={'LINEAR': 66, 'THEOREM': 47, 'SOLVED_FMB': 2}
[116] order5big_0928: THEOREM (71.7s)  running={'LINEAR': 66, 'THEOREM': 48, 'SOLVED_FMB': 2}
[117] order5big_0936: LINEAR (0.0s)  running={'LINEAR': 67, 'THEOREM': 48, 'SOLVED_FMB': 2}
[118] order5big_0944: LINEAR (0.0s)  running={'LINEAR': 68, 'THEOREM': 48, 'SOLVED_FMB': 2}
[119] order5big_0952: THEOREM (60.2s)  running={'LINEAR': 68, 'THEOREM': 49, 'SOLVED_FMB': 2}
[120] order5big_0960: LINEAR (0.0s)  running={'LINEAR': 69, 'THEOREM': 49, 'SOLVED_FMB': 2}
[121] order5big_0968: SOLVED_FMB (1.1s)  running={'LINEAR': 69, 'THEOREM': 49, 'SOLVED_FMB': 3}
[122] order5big_0976: THEOREM (60.2s)  running={'LINEAR': 69, 'THEOREM': 50, 'SOLVED_FMB': 3}
[123] order5big_0984: THEOREM (60.2s)  running={'LINEAR': 69, 'THEOREM': 51, 'SOLVED_FMB': 3}
[124] order5big_0992: THEOREM (61.2s)  running={'LINEAR': 69, 'THEOREM': 52, 'SOLVED_FMB': 3}
[125] order5big_1000: LINEAR (0.0s)  running={'LINEAR': 70, 'THEOREM': 52, 'SOLVED_FMB': 3}
[126] order5big_1008: LINEAR (0.0s)  running={'LINEAR': 71, 'THEOREM': 52, 'SOLVED_FMB': 3}
[127] order5big_1016: LINEAR (0.0s)  running={'LINEAR': 72, 'THEOREM': 52, 'SOLVED_FMB': 3}
[128] order5big_1024: LINEAR (0.0s)  running={'LINEAR': 73, 'THEOREM': 52, 'SOLVED_FMB': 3}
[129] order5big_1032: LINEAR (0.0s)  running={'LINEAR': 74, 'THEOREM': 52, 'SOLVED_FMB': 3}
[130] order5big_1040: LINEAR (0.0s)  running={'LINEAR': 75, 'THEOREM': 52, 'SOLVED_FMB': 3}
[131] order5big_1048: THEOREM (60.2s)  running={'LINEAR': 75, 'THEOREM': 53, 'SOLVED_FMB': 3}
[132] order5big_1056: LINEAR (0.0s)  running={'LINEAR': 76, 'THEOREM': 53, 'SOLVED_FMB': 3}
[133] order5big_1064: THEOREM (60.2s)  running={'LINEAR': 76, 'THEOREM': 54, 'SOLVED_FMB': 3}
[134] order5big_1072: LINEAR (0.0s)  running={'LINEAR': 77, 'THEOREM': 54, 'SOLVED_FMB': 3}
[135] order5big_1080: THEOREM (60.7s)  running={'LINEAR': 77, 'THEOREM': 55, 'SOLVED_FMB': 3}
[136] order5big_1088: THEOREM (60.2s)  running={'LINEAR': 77, 'THEOREM': 56, 'SOLVED_FMB': 3}
[137] order5big_1096: LINEAR (0.0s)  running={'LINEAR': 78, 'THEOREM': 56, 'SOLVED_FMB': 3}
[138] order5big_1104: THEOREM (60.2s)  running={'LINEAR': 78, 'THEOREM': 57, 'SOLVED_FMB': 3}
[139] order5big_1112: LINEAR (0.0s)  running={'LINEAR': 79, 'THEOREM': 57, 'SOLVED_FMB': 3}
[140] order5big_1120: LINEAR (0.0s)  running={'LINEAR': 80, 'THEOREM': 57, 'SOLVED_FMB': 3}
[141] order5big_1128: LINEAR (0.0s)  running={'LINEAR': 81, 'THEOREM': 57, 'SOLVED_FMB': 3}
[142] order5big_1136: LINEAR (0.0s)  running={'LINEAR': 82, 'THEOREM': 57, 'SOLVED_FMB': 3}
[143] order5big_1144: SOLVED_FMB (0.2s)  running={'LINEAR': 82, 'THEOREM': 57, 'SOLVED_FMB': 4}
[144] order5big_1152: LINEAR (0.0s)  running={'LINEAR': 83, 'THEOREM': 57, 'SOLVED_FMB': 4}
[145] order5big_1160: LINEAR (0.0s)  running={'LINEAR': 84, 'THEOREM': 57, 'SOLVED_FMB': 4}
[146] order5big_1168: THEOREM (60.4s)  running={'LINEAR': 84, 'THEOREM': 58, 'SOLVED_FMB': 4}
[147] order5big_1176: LINEAR (0.0s)  running={'LINEAR': 85, 'THEOREM': 58, 'SOLVED_FMB': 4}
[148] order5big_1184: THEOREM (61.2s)  running={'LINEAR': 85, 'THEOREM': 59, 'SOLVED_FMB': 4}
[149] order5big_1192: SOLVED_FMB (1.1s)  running={'LINEAR': 85, 'THEOREM': 59, 'SOLVED_FMB': 5}
[150] order5big_1200: LINEAR (0.0s)  running={'LINEAR': 86, 'THEOREM': 59, 'SOLVED_FMB': 5}
[151] order5big_1208: LINEAR (0.0s)  running={'LINEAR': 87, 'THEOREM': 59, 'SOLVED_FMB': 5}
[152] order5big_1216: THEOREM (60.3s)  running={'LINEAR': 87, 'THEOREM': 60, 'SOLVED_FMB': 5}
[153] order5big_1224: LINEAR (0.0s)  running={'LINEAR': 88, 'THEOREM': 60, 'SOLVED_FMB': 5}
[154] order5big_1232: LINEAR (0.0s)  running={'LINEAR': 89, 'THEOREM': 60, 'SOLVED_FMB': 5}
[155] order5big_1240: SOLVED_FMB (17.6s)  running={'LINEAR': 89, 'THEOREM': 60, 'SOLVED_FMB': 6}
[156] order5big_1248: LINEAR (0.0s)  running={'LINEAR': 90, 'THEOREM': 60, 'SOLVED_FMB': 6}
[157] order5big_1256: THEOREM (60.2s)  running={'LINEAR': 90, 'THEOREM': 61, 'SOLVED_FMB': 6}
[158] order5big_1264: THEOREM (60.5s)  running={'LINEAR': 90, 'THEOREM': 62, 'SOLVED_FMB': 6}
[159] order5big_1272: THEOREM (60.2s)  running={'LINEAR': 90, 'THEOREM': 63, 'SOLVED_FMB': 6}
[160] order5big_1280: LINEAR (0.0s)  running={'LINEAR': 91, 'THEOREM': 63, 'SOLVED_FMB': 6}
[161] order5big_1288: LINEAR (0.0s)  running={'LINEAR': 92, 'THEOREM': 63, 'SOLVED_FMB': 6}
[162] order5big_1296: THEOREM (60.3s)  running={'LINEAR': 92, 'THEOREM': 64, 'SOLVED_FMB': 6}
[163] order5big_1304: LINEAR (0.0s)  running={'LINEAR': 93, 'THEOREM': 64, 'SOLVED_FMB': 6}
[164] order5big_1312: THEOREM (60.2s)  running={'LINEAR': 93, 'THEOREM': 65, 'SOLVED_FMB': 6}
[165] order5big_1320: LINEAR (0.0s)  running={'LINEAR': 94, 'THEOREM': 65, 'SOLVED_FMB': 6}
[166] order5big_1328: THEOREM (60.2s)  running={'LINEAR': 94, 'THEOREM': 66, 'SOLVED_FMB': 6}
[167] order5big_1336: THEOREM (72.7s)  running={'LINEAR': 94, 'THEOREM': 67, 'SOLVED_FMB': 6}
[168] order5big_1344: LINEAR (0.0s)  running={'LINEAR': 95, 'THEOREM': 67, 'SOLVED_FMB': 6}
[169] order5big_1352: LINEAR (0.0s)  running={'LINEAR': 96, 'THEOREM': 67, 'SOLVED_FMB': 6}
[170] order5big_1360: THEOREM (60.2s)  running={'LINEAR': 96, 'THEOREM': 68, 'SOLVED_FMB': 6}
[171] order5big_1368: THEOREM (60.2s)  running={'LINEAR': 96, 'THEOREM': 69, 'SOLVED_FMB': 6}
[172] order5big_1376: THEOREM (60.7s)  running={'LINEAR': 96, 'THEOREM': 70, 'SOLVED_FMB': 6}
[173] order5big_1384: LINEAR (0.0s)  running={'LINEAR': 97, 'THEOREM': 70, 'SOLVED_FMB': 6}
[174] order5big_1392: THEOREM (60.5s)  running={'LINEAR': 97, 'THEOREM': 71, 'SOLVED_FMB': 6}
[175] order5big_1400: THEOREM (60.8s)  running={'LINEAR': 97, 'THEOREM': 72, 'SOLVED_FMB': 6}
[176] order5big_1408: THEOREM (60.2s)  running={'LINEAR': 97, 'THEOREM': 73, 'SOLVED_FMB': 6}
[177] order5big_1416: LINEAR (0.0s)  running={'LINEAR': 98, 'THEOREM': 73, 'SOLVED_FMB': 6}
[178] order5big_1424: LINEAR (0.0s)  running={'LINEAR': 99, 'THEOREM': 73, 'SOLVED_FMB': 6}
[179] order5big_1432: THEOREM (60.2s)  running={'LINEAR': 99, 'THEOREM': 74, 'SOLVED_FMB': 6}
[180] order5big_1440: LINEAR (0.0s)  running={'LINEAR': 100, 'THEOREM': 74, 'SOLVED_FMB': 6}
[181] order5big_1448: LINEAR (0.0s)  running={'LINEAR': 101, 'THEOREM': 74, 'SOLVED_FMB': 6}
[182] order5big_1456: LINEAR (0.0s)  running={'LINEAR': 102, 'THEOREM': 74, 'SOLVED_FMB': 6}
[183] order5big_1464: THEOREM (24.5s)  running={'LINEAR': 102, 'THEOREM': 75, 'SOLVED_FMB': 6}
[184] order5big_1472: LINEAR (0.0s)  running={'LINEAR': 103, 'THEOREM': 75, 'SOLVED_FMB': 6}
[185] order5big_1480: LINEAR (0.0s)  running={'LINEAR': 104, 'THEOREM': 75, 'SOLVED_FMB': 6}
[186] order5big_1488: LINEAR (0.0s)  running={'LINEAR': 105, 'THEOREM': 75, 'SOLVED_FMB': 6}
[187] order5big_1496: LINEAR (0.0s)  running={'LINEAR': 106, 'THEOREM': 75, 'SOLVED_FMB': 6}
[188] order5big_1504: THEOREM (60.1s)  running={'LINEAR': 106, 'THEOREM': 76, 'SOLVED_FMB': 6}
[189] order5big_1512: THEOREM (60.2s)  running={'LINEAR': 106, 'THEOREM': 77, 'SOLVED_FMB': 6}
[190] order5big_1520: THEOREM (60.2s)  running={'LINEAR': 106, 'THEOREM': 78, 'SOLVED_FMB': 6}
[191] order5big_1528: LINEAR (0.0s)  running={'LINEAR': 107, 'THEOREM': 78, 'SOLVED_FMB': 6}
[192] order5big_1536: LINEAR (0.0s)  running={'LINEAR': 108, 'THEOREM': 78, 'SOLVED_FMB': 6}
[193] order5big_1544: SOLVED_FMB (1.1s)  running={'LINEAR': 108, 'THEOREM': 78, 'SOLVED_FMB': 7}
[194] order5big_1552: LINEAR (0.0s)  running={'LINEAR': 109, 'THEOREM': 78, 'SOLVED_FMB': 7}
[195] order5big_1560: THEOREM (60.2s)  running={'LINEAR': 109, 'THEOREM': 79, 'SOLVED_FMB': 7}
[196] order5big_1568: LINEAR (0.0s)  running={'LINEAR': 110, 'THEOREM': 79, 'SOLVED_FMB': 7}
[197] order5big_1576: THEOREM (60.2s)  running={'LINEAR': 110, 'THEOREM': 80, 'SOLVED_FMB': 7}
[198] order5big_1584: THEOREM (60.3s)  running={'LINEAR': 110, 'THEOREM': 81, 'SOLVED_FMB': 7}
[199] order5big_1592: LINEAR (0.0s)  running={'LINEAR': 111, 'THEOREM': 81, 'SOLVED_FMB': 7}
[200] order5big_1600: THEOREM (60.3s)  running={'LINEAR': 111, 'THEOREM': 82, 'SOLVED_FMB': 7}
[201] order5big_1608: SOLVED_FMB (2.8s)  running={'LINEAR': 111, 'THEOREM': 82, 'SOLVED_FMB': 8}
[202] order5big_1616: THEOREM (60.2s)  running={'LINEAR': 111, 'THEOREM': 83, 'SOLVED_FMB': 8}
[203] order5big_1624: LINEAR (0.0s)  running={'LINEAR': 112, 'THEOREM': 83, 'SOLVED_FMB': 8}
[204] order5big_1632: THEOREM (60.2s)  running={'LINEAR': 112, 'THEOREM': 84, 'SOLVED_FMB': 8}
[205] order5big_1640: THEOREM (60.1s)  running={'LINEAR': 112, 'THEOREM': 85, 'SOLVED_FMB': 8}
[206] order5big_1648: LINEAR (0.0s)  running={'LINEAR': 113, 'THEOREM': 85, 'SOLVED_FMB': 8}
[207] order5big_1656: THEOREM (60.4s)  running={'LINEAR': 113, 'THEOREM': 86, 'SOLVED_FMB': 8}
[208] order5big_1664: LINEAR (0.0s)  running={'LINEAR': 114, 'THEOREM': 86, 'SOLVED_FMB': 8}
[209] order5big_1672: LINEAR (0.0s)  running={'LINEAR': 115, 'THEOREM': 86, 'SOLVED_FMB': 8}
[210] order5big_1680: LINEAR (0.0s)  running={'LINEAR': 116, 'THEOREM': 86, 'SOLVED_FMB': 8}
[211] order5big_1688: THEOREM (60.1s)  running={'LINEAR': 116, 'THEOREM': 87, 'SOLVED_FMB': 8}
[212] order5big_1696: LINEAR (0.0s)  running={'LINEAR': 117, 'THEOREM': 87, 'SOLVED_FMB': 8}
[213] order5big_1704: LINEAR (0.0s)  running={'LINEAR': 118, 'THEOREM': 87, 'SOLVED_FMB': 8}
[214] order5big_1712: LINEAR (0.0s)  running={'LINEAR': 119, 'THEOREM': 87, 'SOLVED_FMB': 8}
[215] order5big_1720: LINEAR (0.0s)  running={'LINEAR': 120, 'THEOREM': 87, 'SOLVED_FMB': 8}
[216] order5big_1728: THEOREM (60.4s)  running={'LINEAR': 120, 'THEOREM': 88, 'SOLVED_FMB': 8}
[217] order5big_1736: THEOREM (60.3s)  running={'LINEAR': 120, 'THEOREM': 89, 'SOLVED_FMB': 8}
[218] order5big_1744: THEOREM (60.2s)  running={'LINEAR': 120, 'THEOREM': 90, 'SOLVED_FMB': 8}
[219] order5big_1752: SOLVED_FMB (12.9s)  running={'LINEAR': 120, 'THEOREM': 90, 'SOLVED_FMB': 9}
[220] order5big_1760: THEOREM (61.2s)  running={'LINEAR': 120, 'THEOREM': 91, 'SOLVED_FMB': 9}
[221] order5big_1768: LINEAR (0.0s)  running={'LINEAR': 121, 'THEOREM': 91, 'SOLVED_FMB': 9}
[222] order5big_1776: LINEAR (0.0s)  running={'LINEAR': 122, 'THEOREM': 91, 'SOLVED_FMB': 9}
[223] order5big_1784: LINEAR (0.0s)  running={'LINEAR': 123, 'THEOREM': 91, 'SOLVED_FMB': 9}
[224] order5big_1792: LINEAR (0.0s)  running={'LINEAR': 124, 'THEOREM': 91, 'SOLVED_FMB': 9}
[225] order5big_1800: LINEAR (0.0s)  running={'LINEAR': 125, 'THEOREM': 91, 'SOLVED_FMB': 9}
[226] order5big_1808: THEOREM (60.1s)  running={'LINEAR': 125, 'THEOREM': 92, 'SOLVED_FMB': 9}
[227] order5big_1816: LINEAR (0.0s)  running={'LINEAR': 126, 'THEOREM': 92, 'SOLVED_FMB': 9}
[228] order5big_1824: LINEAR (0.0s)  running={'LINEAR': 127, 'THEOREM': 92, 'SOLVED_FMB': 9}
[229] order5big_1832: LINEAR (0.0s)  running={'LINEAR': 128, 'THEOREM': 92, 'SOLVED_FMB': 9}
[230] order5big_1840: THEOREM (60.2s)  running={'LINEAR': 128, 'THEOREM': 93, 'SOLVED_FMB': 9}
[231] order5big_1848: THEOREM (60.2s)  running={'LINEAR': 128, 'THEOREM': 94, 'SOLVED_FMB': 9}
[232] order5big_1856: THEOREM (60.2s)  running={'LINEAR': 128, 'THEOREM': 95, 'SOLVED_FMB': 9}
[233] order5big_1864: LINEAR (0.0s)  running={'LINEAR': 129, 'THEOREM': 95, 'SOLVED_FMB': 9}
[234] order5big_1872: THEOREM (73.3s)  running={'LINEAR': 129, 'THEOREM': 96, 'SOLVED_FMB': 9}
[235] order5big_1880: LINEAR (0.0s)  running={'LINEAR': 130, 'THEOREM': 96, 'SOLVED_FMB': 9}
[236] order5big_1888: LINEAR (0.0s)  running={'LINEAR': 131, 'THEOREM': 96, 'SOLVED_FMB': 9}
[237] order5big_1896: THEOREM (208.8s)  running={'LINEAR': 131, 'THEOREM': 97, 'SOLVED_FMB': 9}
