nohup: ignoring input
[1] order5big_0004: THEOREM (60.1s)  running={'THEOREM': 1}
[63] order5big_1215: THEOREM (60.2s)  running={'THEOREM': 60, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[64] order5big_1234: THEOREM (60.2s)  running={'THEOREM': 61, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[65] order5big_1251: THEOREM (4.0s)  running={'THEOREM': 62, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[66] order5big_1275: THEOREM (60.4s)  running={'THEOREM': 63, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[67] order5big_1299: THEOREM (60.2s)  running={'THEOREM': 64, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[68] order5big_1319: THEOREM (61.1s)  running={'THEOREM': 65, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[69] order5big_1339: THEOREM (60.6s)  running={'THEOREM': 66, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[70] order5big_1362: THEOREM (60.2s)  running={'THEOREM': 67, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[71] order5big_1377: THEOREM (60.2s)  running={'THEOREM': 68, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[72] order5big_1398: THEOREM (60.2s)  running={'THEOREM': 69, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[73] order5big_1408: THEOREM (60.2s)  running={'THEOREM': 70, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[74] order5big_1426: THEOREM (60.2s)  running={'THEOREM': 71, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[75] order5big_1455: THEOREM (1.1s)  running={'THEOREM': 72, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[76] order5big_1481: THEOREM (60.3s)  running={'THEOREM': 73, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[77] order5big_1504: THEOREM (60.1s)  running={'THEOREM': 74, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[78] order5big_1522: THEOREM (60.5s)  running={'THEOREM': 75, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[79] order5big_1556: THEOREM (60.2s)  running={'THEOREM': 76, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[80] order5big_1577: THEOREM (72.8s)  running={'THEOREM': 77, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[81] order5big_1593: HARD_NONLINEAR (120.1s)  running={'THEOREM': 77, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[82] order5big_1604: THEOREM (60.2s)  running={'THEOREM': 78, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[83] order5big_1625: THEOREM (60.2s)  running={'THEOREM': 79, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[84] order5big_1641: THEOREM (60.2s)  running={'THEOREM': 80, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[85] order5big_1658: THEOREM (62.2s)  running={'THEOREM': 81, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[86] order5big_1674: THEOREM (60.2s)  running={'THEOREM': 82, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[87] order5big_1701: THEOREM (60.6s)  running={'THEOREM': 83, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[88] order5big_1727: THEOREM (60.5s)  running={'THEOREM': 84, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[89] order5big_1739: THEOREM (60.2s)  running={'THEOREM': 85, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[90] order5big_1756: THEOREM (60.1s)  running={'THEOREM': 86, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[91] order5big_1773: THEOREM (60.2s)  running={'THEOREM': 87, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[92] order5big_1788: THEOREM (60.3s)  running={'THEOREM': 88, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[93] order5big_1803: THEOREM (62.0s)  running={'THEOREM': 89, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[94] order5big_1815: THEOREM (60.3s)  running={'THEOREM': 90, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[95] order5big_1838: THEOREM (61.2s)  running={'THEOREM': 91, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[96] order5big_1859: THEOREM (60.2s)  running={'THEOREM': 92, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[97] order5big_1891: THEOREM (34.0s)  running={'THEOREM': 93, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[98] order5big_1909: THEOREM (72.2s)  running={'THEOREM': 94, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[99] order5big_1925: THEOREM (60.6s)  running={'THEOREM': 95, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[100] order5big_1947: THEOREM (60.2s)  running={'THEOREM': 96, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[101] order5big_1966: THEOREM (60.5s)  running={'THEOREM': 97, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[102] order5big_1995: THEOREM (60.2s)  running={'THEOREM': 98, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[103] order5big_2008: THEOREM (60.2s)  running={'THEOREM': 99, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[104] order5big_2027: THEOREM (60.2s)  running={'THEOREM': 100, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 2}
[105] order5big_2047: SOLVED_FMB (0.6s)  running={'THEOREM': 100, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[106] order5big_2065: THEOREM (60.2s)  running={'THEOREM': 101, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[107] order5big_2087: THEOREM (60.2s)  running={'THEOREM': 102, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[108] order5big_2108: THEOREM (60.7s)  running={'THEOREM': 103, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[109] order5big_2126: THEOREM (60.1s)  running={'THEOREM': 104, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[110] order5big_2141: THEOREM (60.6s)  running={'THEOREM': 105, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[111] order5big_2160: THEOREM (61.0s)  running={'THEOREM': 106, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[112] order5big_2175: THEOREM (60.2s)  running={'THEOREM': 107, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[113] order5big_2194: THEOREM (61.1s)  running={'THEOREM': 108, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[114] order5big_2212: THEOREM (60.2s)  running={'THEOREM': 109, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[115] order5big_2244: THEOREM (60.2s)  running={'THEOREM': 110, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[116] order5big_2259: THEOREM (60.3s)  running={'THEOREM': 111, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[117] order5big_2271: THEOREM (60.2s)  running={'THEOREM': 112, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 2}
[118] order5big_2283: SOLVED_FMB (24.6s)  running={'THEOREM': 112, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[119] order5big_2302: THEOREM (60.7s)  running={'THEOREM': 113, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[120] order5big_2315: THEOREM (60.1s)  running={'THEOREM': 114, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[121] order5big_2330: THEOREM (0.3s)  running={'THEOREM': 115, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[122] order5big_2347: THEOREM (60.2s)  running={'THEOREM': 116, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[123] order5big_2366: THEOREM (60.4s)  running={'THEOREM': 117, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[124] order5big_2382: THEOREM (0.5s)  running={'THEOREM': 118, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[125] order5big_2400: THEOREM (60.1s)  running={'THEOREM': 119, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[126] order5big_2413: THEOREM (60.2s)  running={'THEOREM': 120, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[127] order5big_2436: THEOREM (60.2s)  running={'THEOREM': 121, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[128] order5big_2453: THEOREM (60.3s)  running={'THEOREM': 122, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[129] order5big_2467: THEOREM (60.6s)  running={'THEOREM': 123, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[130] order5big_2500: THEOREM (60.3s)  running={'THEOREM': 124, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[131] order5big_2515: THEOREM (60.5s)  running={'THEOREM': 125, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[132] order5big_2532: THEOREM (60.2s)  running={'THEOREM': 126, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[133] order5big_2559: THEOREM (60.2s)  running={'THEOREM': 127, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[134] order5big_2581: THEOREM (61.2s)  running={'THEOREM': 128, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[135] order5big_2595: THEOREM (60.3s)  running={'THEOREM': 129, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[136] order5big_2618: THEOREM (60.5s)  running={'THEOREM': 130, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[137] order5big_2638: THEOREM (60.2s)  running={'THEOREM': 131, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[138] order5big_2654: THEOREM (60.2s)  running={'THEOREM': 132, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[139] order5big_2670: THEOREM (60.2s)  running={'THEOREM': 133, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[140] order5big_2685: THEOREM (60.2s)  running={'THEOREM': 134, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[141] order5big_2700: THEOREM (61.2s)  running={'THEOREM': 135, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[142] order5big_2724: THEOREM (60.2s)  running={'THEOREM': 136, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[143] order5big_2738: THEOREM (60.1s)  running={'THEOREM': 137, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[144] order5big_2751: THEOREM (60.2s)  running={'THEOREM': 138, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[145] order5big_2774: THEOREM (60.2s)  running={'THEOREM': 139, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[146] order5big_2790: THEOREM (60.2s)  running={'THEOREM': 140, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[147] order5big_2801: THEOREM (60.2s)  running={'THEOREM': 141, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[148] order5big_2819: THEOREM (60.2s)  running={'THEOREM': 142, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[149] order5big_2837: THEOREM (60.3s)  running={'THEOREM': 143, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[150] order5big_2856: THEOREM (60.2s)  running={'THEOREM': 144, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[151] order5big_2876: THEOREM (60.2s)  running={'THEOREM': 145, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[152] order5big_2894: THEOREM (60.2s)  running={'THEOREM': 146, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[153] order5big_2909: THEOREM (60.2s)  running={'THEOREM': 147, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[154] order5big_2925: THEOREM (60.2s)  running={'THEOREM': 148, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[155] order5big_2941: THEOREM (60.7s)  running={'THEOREM': 149, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[156] order5big_2956: THEOREM (60.2s)  running={'THEOREM': 150, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[157] order5big_2978: THEOREM (60.2s)  running={'THEOREM': 151, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[158] order5big_2992: THEOREM (60.1s)  running={'THEOREM': 152, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[159] order5big_3017: THEOREM (60.1s)  running={'THEOREM': 153, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[160] order5big_3034: THEOREM (60.1s)  running={'THEOREM': 154, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[161] order5big_3051: THEOREM (60.2s)  running={'THEOREM': 155, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[162] order5big_3078: THEOREM (10.5s)  running={'THEOREM': 156, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[163] order5big_3101: THEOREM (60.2s)  running={'THEOREM': 157, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[164] order5big_3131: THEOREM (60.2s)  running={'THEOREM': 158, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[165] order5big_3152: THEOREM (73.2s)  running={'THEOREM': 159, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[166] order5big_3170: THEOREM (60.2s)  running={'THEOREM': 160, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[167] order5big_3192: THEOREM (60.6s)  running={'THEOREM': 161, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[168] order5big_3209: THEOREM (60.7s)  running={'THEOREM': 162, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[169] order5big_3225: HARD_NONLINEAR (120.1s)  running={'THEOREM': 162, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 3}
[170] order5big_3245: THEOREM (18.0s)  running={'THEOREM': 163, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 3}
[171] order5big_3261: THEOREM (60.2s)  running={'THEOREM': 164, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 3}
[172] order5big_3286: THEOREM (60.2s)  running={'THEOREM': 165, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 3}
[173] order5big_3310: THEOREM (60.5s)  running={'THEOREM': 166, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 3}
[174] order5big_3330: THEOREM (60.2s)  running={'THEOREM': 167, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 3}
[175] order5big_3358: SOLVED_FMB (0.1s)  running={'THEOREM': 167, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[176] order5big_3383: THEOREM (60.2s)  running={'THEOREM': 168, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[177] order5big_3401: THEOREM (60.2s)  running={'THEOREM': 169, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[178] order5big_3423: THEOREM (60.2s)  running={'THEOREM': 170, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[179] order5big_3447: THEOREM (60.2s)  running={'THEOREM': 171, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[180] order5big_3468: THEOREM (60.2s)  running={'THEOREM': 172, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[181] order5big_3487: THEOREM (60.2s)  running={'THEOREM': 173, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[182] order5big_3501: THEOREM (60.2s)  running={'THEOREM': 174, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[183] order5big_3517: THEOREM (60.2s)  running={'THEOREM': 175, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[184] order5big_3535: THEOREM (208.1s)  running={'THEOREM': 176, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[185] order5big_3553: THEOREM (60.8s)  running={'THEOREM': 177, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[186] order5big_3587: THEOREM (60.5s)  running={'THEOREM': 178, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[187] order5big_3606: THEOREM (60.2s)  running={'THEOREM': 179, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[188] order5big_3632: THEOREM (0.2s)  running={'THEOREM': 180, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[189] order5big_3669: THEOREM (60.1s)  running={'THEOREM': 181, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[190] order5big_3686: THEOREM (60.2s)  running={'THEOREM': 182, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[191] order5big_3703: THEOREM (60.3s)  running={'THEOREM': 183, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[192] order5big_3718: THEOREM (3.6s)  running={'THEOREM': 184, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[193] order5big_3743: THEOREM (60.2s)  running={'THEOREM': 185, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[194] order5big_3757: THEOREM (60.2s)  running={'THEOREM': 186, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[195] order5big_3786: THEOREM (60.2s)  running={'THEOREM': 187, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[196] order5big_3804: THEOREM (0.4s)  running={'THEOREM': 188, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[197] order5big_3834: THEOREM (60.2s)  running={'THEOREM': 189, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[198] order5big_3851: THEOREM (60.3s)  running={'THEOREM': 190, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[199] order5big_3867: THEOREM (60.2s)  running={'THEOREM': 191, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[200] order5big_3879: THEOREM (62.8s)  running={'THEOREM': 192, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[201] order5big_3894: THEOREM (60.1s)  running={'THEOREM': 193, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[202] order5big_3908: THEOREM (60.5s)  running={'THEOREM': 194, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[203] order5big_3924: THEOREM (60.5s)  running={'THEOREM': 195, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[204] order5big_3951: THEOREM (60.2s)  running={'THEOREM': 196, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[205] order5big_3971: THEOREM (60.1s)  running={'THEOREM': 197, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 3}
[206] order5big_3992: SOLVED_FMB (5.7s)  running={'THEOREM': 197, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[207] order5big_4010: THEOREM (60.2s)  running={'THEOREM': 198, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[208] order5big_4036: THEOREM (60.2s)  running={'THEOREM': 199, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[209] order5big_4067: THEOREM (60.2s)  running={'THEOREM': 200, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[210] order5big_4087: THEOREM (0.6s)  running={'THEOREM': 201, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[211] order5big_4109: THEOREM (60.5s)  running={'THEOREM': 202, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[212] order5big_4124: THEOREM (100.5s)  running={'THEOREM': 203, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[213] order5big_4141: THEOREM (60.2s)  running={'THEOREM': 204, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[214] order5big_4160: THEOREM (60.1s)  running={'THEOREM': 205, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[215] order5big_4175: THEOREM (60.2s)  running={'THEOREM': 206, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[216] order5big_4188: THEOREM (60.1s)  running={'THEOREM': 207, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[217] order5big_4212: THEOREM (60.2s)  running={'THEOREM': 208, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
[218] order5big_4229: THEOREM (60.4s)  running={'THEOREM': 209, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 3}
