nohup: ignoring input
[1] order5big_0004: THEOREM (60.1s)  running={'THEOREM': 1}
[70] order5big_0556: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 40, 'SOLVED_FMB': 3}
[71] order5big_0564: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 41, 'SOLVED_FMB': 3}
[72] order5big_0572: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 42, 'SOLVED_FMB': 3}
[73] order5big_0580: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 43, 'SOLVED_FMB': 3}
[74] order5big_0588: SOLVED_FMB (0.1s)  running={'THEOREM': 27, 'LINEAR': 43, 'SOLVED_FMB': 4}
[75] order5big_0596: THEOREM (60.4s)  running={'THEOREM': 28, 'LINEAR': 43, 'SOLVED_FMB': 4}
[76] order5big_0604: LINEAR (0.0s)  running={'THEOREM': 28, 'LINEAR': 44, 'SOLVED_FMB': 4}
[77] order5big_0612: LINEAR (0.0s)  running={'THEOREM': 28, 'LINEAR': 45, 'SOLVED_FMB': 4}
[78] order5big_0620: LINEAR (0.0s)  running={'THEOREM': 28, 'LINEAR': 46, 'SOLVED_FMB': 4}
[79] order5big_0628: THEOREM (60.1s)  running={'THEOREM': 29, 'LINEAR': 46, 'SOLVED_FMB': 4}
[80] order5big_0636: LINEAR (0.0s)  running={'THEOREM': 29, 'LINEAR': 47, 'SOLVED_FMB': 4}
[81] order5big_0644: LINEAR (0.0s)  running={'THEOREM': 29, 'LINEAR': 48, 'SOLVED_FMB': 4}
[82] order5big_0652: LINEAR (0.0s)  running={'THEOREM': 29, 'LINEAR': 49, 'SOLVED_FMB': 4}
[83] order5big_0660: THEOREM (73.0s)  running={'THEOREM': 30, 'LINEAR': 49, 'SOLVED_FMB': 4}
[84] order5big_0668: SOLVED_FMB (4.8s)  running={'THEOREM': 30, 'LINEAR': 49, 'SOLVED_FMB': 5}
[85] order5big_0676: THEOREM (61.3s)  running={'THEOREM': 31, 'LINEAR': 49, 'SOLVED_FMB': 5}
[86] order5big_0684: THEOREM (60.2s)  running={'THEOREM': 32, 'LINEAR': 49, 'SOLVED_FMB': 5}
[87] order5big_0692: LINEAR (0.0s)  running={'THEOREM': 32, 'LINEAR': 50, 'SOLVED_FMB': 5}
[88] order5big_0700: THEOREM (60.2s)  running={'THEOREM': 33, 'LINEAR': 50, 'SOLVED_FMB': 5}
[89] order5big_0708: THEOREM (60.2s)  running={'THEOREM': 34, 'LINEAR': 50, 'SOLVED_FMB': 5}
[90] order5big_0716: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 51, 'SOLVED_FMB': 5}
[91] order5big_0724: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 52, 'SOLVED_FMB': 5}
[92] order5big_0732: THEOREM (60.2s)  running={'THEOREM': 35, 'LINEAR': 52, 'SOLVED_FMB': 5}
[93] order5big_0740: LINEAR (0.0s)  running={'THEOREM': 35, 'LINEAR': 53, 'SOLVED_FMB': 5}
[94] order5big_0748: LINEAR (0.0s)  running={'THEOREM': 35, 'LINEAR': 54, 'SOLVED_FMB': 5}
[95] order5big_0756: THEOREM (60.2s)  running={'THEOREM': 36, 'LINEAR': 54, 'SOLVED_FMB': 5}
[96] order5big_0764: LINEAR (0.0s)  running={'THEOREM': 36, 'LINEAR': 55, 'SOLVED_FMB': 5}
[97] order5big_0772: THEOREM (60.3s)  running={'THEOREM': 37, 'LINEAR': 55, 'SOLVED_FMB': 5}
[98] order5big_0780: LINEAR (0.0s)  running={'THEOREM': 37, 'LINEAR': 56, 'SOLVED_FMB': 5}
[99] order5big_0788: LINEAR (0.0s)  running={'THEOREM': 37, 'LINEAR': 57, 'SOLVED_FMB': 5}
[100] order5big_0796: LINEAR (0.0s)  running={'THEOREM': 37, 'LINEAR': 58, 'SOLVED_FMB': 5}
[101] order5big_0804: THEOREM (61.1s)  running={'THEOREM': 38, 'LINEAR': 58, 'SOLVED_FMB': 5}
[102] order5big_0812: LINEAR (0.0s)  running={'THEOREM': 38, 'LINEAR': 59, 'SOLVED_FMB': 5}
[103] order5big_0820: THEOREM (60.4s)  running={'THEOREM': 39, 'LINEAR': 59, 'SOLVED_FMB': 5}
[104] order5big_0828: LINEAR (0.0s)  running={'THEOREM': 39, 'LINEAR': 60, 'SOLVED_FMB': 5}
[105] order5big_0836: THEOREM (60.2s)  running={'THEOREM': 40, 'LINEAR': 60, 'SOLVED_FMB': 5}
[106] order5big_0844: THEOREM (60.6s)  running={'THEOREM': 41, 'LINEAR': 60, 'SOLVED_FMB': 5}
[107] order5big_0852: THEOREM (60.4s)  running={'THEOREM': 42, 'LINEAR': 60, 'SOLVED_FMB': 5}
[108] order5big_0860: THEOREM (60.2s)  running={'THEOREM': 43, 'LINEAR': 60, 'SOLVED_FMB': 5}
[109] order5big_0868: THEOREM (60.2s)  running={'THEOREM': 44, 'LINEAR': 60, 'SOLVED_FMB': 5}
[110] order5big_0876: LINEAR (0.0s)  running={'THEOREM': 44, 'LINEAR': 61, 'SOLVED_FMB': 5}
[111] order5big_0884: LINEAR (0.0s)  running={'THEOREM': 44, 'LINEAR': 62, 'SOLVED_FMB': 5}
[112] order5big_0892: LINEAR (0.0s)  running={'THEOREM': 44, 'LINEAR': 63, 'SOLVED_FMB': 5}
[113] order5big_0900: THEOREM (60.2s)  running={'THEOREM': 45, 'LINEAR': 63, 'SOLVED_FMB': 5}
[114] order5big_0908: LINEAR (0.0s)  running={'THEOREM': 45, 'LINEAR': 64, 'SOLVED_FMB': 5}
[115] order5big_0916: LINEAR (0.0s)  running={'THEOREM': 45, 'LINEAR': 65, 'SOLVED_FMB': 5}
[116] order5big_0924: THEOREM (60.3s)  running={'THEOREM': 46, 'LINEAR': 65, 'SOLVED_FMB': 5}
[117] order5big_0932: THEOREM (60.2s)  running={'THEOREM': 47, 'LINEAR': 65, 'SOLVED_FMB': 5}
[118] order5big_0940: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 66, 'SOLVED_FMB': 5}
[119] order5big_0948: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 67, 'SOLVED_FMB': 5}
[120] order5big_0956: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 68, 'SOLVED_FMB': 5}
[121] order5big_0964: SOLVED_FMB (0.1s)  running={'THEOREM': 47, 'LINEAR': 68, 'SOLVED_FMB': 6}
[122] order5big_0972: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 69, 'SOLVED_FMB': 6}
[123] order5big_0980: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 70, 'SOLVED_FMB': 6}
[124] order5big_0988: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 71, 'SOLVED_FMB': 6}
[125] order5big_0996: THEOREM (60.4s)  running={'THEOREM': 48, 'LINEAR': 71, 'SOLVED_FMB': 6}
[126] order5big_1004: THEOREM (60.2s)  running={'THEOREM': 49, 'LINEAR': 71, 'SOLVED_FMB': 6}
[127] order5big_1012: THEOREM (57.8s)  running={'THEOREM': 50, 'LINEAR': 71, 'SOLVED_FMB': 6}
[128] order5big_1020: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 72, 'SOLVED_FMB': 6}
[129] order5big_1028: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 73, 'SOLVED_FMB': 6}
[130] order5big_1036: THEOREM (61.2s)  running={'THEOREM': 51, 'LINEAR': 73, 'SOLVED_FMB': 6}
[131] order5big_1044: LINEAR (0.0s)  running={'THEOREM': 51, 'LINEAR': 74, 'SOLVED_FMB': 6}
[132] order5big_1052: THEOREM (62.1s)  running={'THEOREM': 52, 'LINEAR': 74, 'SOLVED_FMB': 6}
[133] order5big_1060: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 75, 'SOLVED_FMB': 6}
[134] order5big_1068: THEOREM (60.2s)  running={'THEOREM': 53, 'LINEAR': 75, 'SOLVED_FMB': 6}
[135] order5big_1076: LINEAR (0.0s)  running={'THEOREM': 53, 'LINEAR': 76, 'SOLVED_FMB': 6}
[136] order5big_1084: LINEAR (0.0s)  running={'THEOREM': 53, 'LINEAR': 77, 'SOLVED_FMB': 6}
[137] order5big_1092: THEOREM (60.3s)  running={'THEOREM': 54, 'LINEAR': 77, 'SOLVED_FMB': 6}
[138] order5big_1100: LINEAR (0.0s)  running={'THEOREM': 54, 'LINEAR': 78, 'SOLVED_FMB': 6}
[139] order5big_1108: SOLVED_FMB (12.7s)  running={'THEOREM': 54, 'LINEAR': 78, 'SOLVED_FMB': 7}
[140] order5big_1116: LINEAR (0.0s)  running={'THEOREM': 54, 'LINEAR': 79, 'SOLVED_FMB': 7}
[141] order5big_1124: LINEAR (0.0s)  running={'THEOREM': 54, 'LINEAR': 80, 'SOLVED_FMB': 7}
[142] order5big_1132: THEOREM (60.4s)  running={'THEOREM': 55, 'LINEAR': 80, 'SOLVED_FMB': 7}
[143] order5big_1140: THEOREM (60.2s)  running={'THEOREM': 56, 'LINEAR': 80, 'SOLVED_FMB': 7}
[144] order5big_1148: THEOREM (60.5s)  running={'THEOREM': 57, 'LINEAR': 80, 'SOLVED_FMB': 7}
[145] order5big_1156: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 81, 'SOLVED_FMB': 7}
[146] order5big_1164: THEOREM (60.2s)  running={'THEOREM': 58, 'LINEAR': 81, 'SOLVED_FMB': 7}
[147] order5big_1172: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 82, 'SOLVED_FMB': 7}
[148] order5big_1180: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 83, 'SOLVED_FMB': 7}
[149] order5big_1188: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 84, 'SOLVED_FMB': 7}
[150] order5big_1196: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 85, 'SOLVED_FMB': 7}
[151] order5big_1204: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 86, 'SOLVED_FMB': 7}
[152] order5big_1212: THEOREM (60.2s)  running={'THEOREM': 59, 'LINEAR': 86, 'SOLVED_FMB': 7}
[153] order5big_1220: LINEAR (0.0s)  running={'THEOREM': 59, 'LINEAR': 87, 'SOLVED_FMB': 7}
[154] order5big_1228: LINEAR (0.2s)  running={'THEOREM': 59, 'LINEAR': 88, 'SOLVED_FMB': 7}
[155] order5big_1236: LINEAR (0.0s)  running={'THEOREM': 59, 'LINEAR': 89, 'SOLVED_FMB': 7}
[156] order5big_1244: LINEAR (0.0s)  running={'THEOREM': 59, 'LINEAR': 90, 'SOLVED_FMB': 7}
[157] order5big_1252: LINEAR (0.0s)  running={'THEOREM': 59, 'LINEAR': 91, 'SOLVED_FMB': 7}
[158] order5big_1260: THEOREM (60.2s)  running={'THEOREM': 60, 'LINEAR': 91, 'SOLVED_FMB': 7}
[159] order5big_1268: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 92, 'SOLVED_FMB': 7}
[160] order5big_1276: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 93, 'SOLVED_FMB': 7}
[161] order5big_1284: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 94, 'SOLVED_FMB': 7}
[162] order5big_1292: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 95, 'SOLVED_FMB': 7}
[163] order5big_1300: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 96, 'SOLVED_FMB': 7}
[164] order5big_1308: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 97, 'SOLVED_FMB': 7}
[165] order5big_1316: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 98, 'SOLVED_FMB': 7}
[166] order5big_1324: THEOREM (60.2s)  running={'THEOREM': 61, 'LINEAR': 98, 'SOLVED_FMB': 7}
[167] order5big_1332: THEOREM (60.2s)  running={'THEOREM': 62, 'LINEAR': 98, 'SOLVED_FMB': 7}
[168] order5big_1340: LINEAR (0.0s)  running={'THEOREM': 62, 'LINEAR': 99, 'SOLVED_FMB': 7}
[169] order5big_1348: LINEAR (0.0s)  running={'THEOREM': 62, 'LINEAR': 100, 'SOLVED_FMB': 7}
[170] order5big_1356: LINEAR (0.0s)  running={'THEOREM': 62, 'LINEAR': 101, 'SOLVED_FMB': 7}
[171] order5big_1364: THEOREM (60.2s)  running={'THEOREM': 63, 'LINEAR': 101, 'SOLVED_FMB': 7}
[172] order5big_1372: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 102, 'SOLVED_FMB': 7}
[173] order5big_1380: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 103, 'SOLVED_FMB': 7}
[174] order5big_1388: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 104, 'SOLVED_FMB': 7}
[175] order5big_1396: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 105, 'SOLVED_FMB': 7}
[176] order5big_1404: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 106, 'SOLVED_FMB': 7}
[177] order5big_1412: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 107, 'SOLVED_FMB': 7}
[178] order5big_1420: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 108, 'SOLVED_FMB': 7}
[179] order5big_1428: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 109, 'SOLVED_FMB': 7}
[180] order5big_1436: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 110, 'SOLVED_FMB': 7}
[181] order5big_1444: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 111, 'SOLVED_FMB': 7}
[182] order5big_1452: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 112, 'SOLVED_FMB': 7}
[183] order5big_1460: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 113, 'SOLVED_FMB': 7}
[184] order5big_1468: THEOREM (60.2s)  running={'THEOREM': 64, 'LINEAR': 113, 'SOLVED_FMB': 7}
[185] order5big_1476: LINEAR (0.0s)  running={'THEOREM': 64, 'LINEAR': 114, 'SOLVED_FMB': 7}
[186] order5big_1484: THEOREM (60.2s)  running={'THEOREM': 65, 'LINEAR': 114, 'SOLVED_FMB': 7}
[187] order5big_1492: LINEAR (0.0s)  running={'THEOREM': 65, 'LINEAR': 115, 'SOLVED_FMB': 7}
[188] order5big_1500: LINEAR (0.0s)  running={'THEOREM': 65, 'LINEAR': 116, 'SOLVED_FMB': 7}
[189] order5big_1508: LINEAR (0.0s)  running={'THEOREM': 65, 'LINEAR': 117, 'SOLVED_FMB': 7}
[190] order5big_1516: LINEAR (0.0s)  running={'THEOREM': 65, 'LINEAR': 118, 'SOLVED_FMB': 7}
[191] order5big_1524: LINEAR (0.0s)  running={'THEOREM': 65, 'LINEAR': 119, 'SOLVED_FMB': 7}
[192] order5big_1532: LINEAR (0.0s)  running={'THEOREM': 65, 'LINEAR': 120, 'SOLVED_FMB': 7}
[193] order5big_1540: THEOREM (60.2s)  running={'THEOREM': 66, 'LINEAR': 120, 'SOLVED_FMB': 7}
[194] order5big_1548: LINEAR (0.0s)  running={'THEOREM': 66, 'LINEAR': 121, 'SOLVED_FMB': 7}
[195] order5big_1556: THEOREM (60.2s)  running={'THEOREM': 67, 'LINEAR': 121, 'SOLVED_FMB': 7}
[196] order5big_1564: THEOREM (60.2s)  running={'THEOREM': 68, 'LINEAR': 121, 'SOLVED_FMB': 7}
[197] order5big_1572: THEOREM (60.5s)  running={'THEOREM': 69, 'LINEAR': 121, 'SOLVED_FMB': 7}
[198] order5big_1580: THEOREM (60.2s)  running={'THEOREM': 70, 'LINEAR': 121, 'SOLVED_FMB': 7}
[199] order5big_1588: LINEAR (0.0s)  running={'THEOREM': 70, 'LINEAR': 122, 'SOLVED_FMB': 7}
[200] order5big_1596: THEOREM (60.2s)  running={'THEOREM': 71, 'LINEAR': 122, 'SOLVED_FMB': 7}
[201] order5big_1604: THEOREM (60.2s)  running={'THEOREM': 72, 'LINEAR': 122, 'SOLVED_FMB': 7}
[202] order5big_1612: THEOREM (60.5s)  running={'THEOREM': 73, 'LINEAR': 122, 'SOLVED_FMB': 7}
[203] order5big_1620: LINEAR (0.0s)  running={'THEOREM': 73, 'LINEAR': 123, 'SOLVED_FMB': 7}
[204] order5big_1628: LINEAR (0.0s)  running={'THEOREM': 73, 'LINEAR': 124, 'SOLVED_FMB': 7}
[205] order5big_1636: LINEAR (0.0s)  running={'THEOREM': 73, 'LINEAR': 125, 'SOLVED_FMB': 7}
[206] order5big_1644: THEOREM (60.6s)  running={'THEOREM': 74, 'LINEAR': 125, 'SOLVED_FMB': 7}
[207] order5big_1652: THEOREM (60.2s)  running={'THEOREM': 75, 'LINEAR': 125, 'SOLVED_FMB': 7}
[208] order5big_1660: THEOREM (60.2s)  running={'THEOREM': 76, 'LINEAR': 125, 'SOLVED_FMB': 7}
[209] order5big_1668: THEOREM (60.2s)  running={'THEOREM': 77, 'LINEAR': 125, 'SOLVED_FMB': 7}
[210] order5big_1676: LINEAR (0.0s)  running={'THEOREM': 77, 'LINEAR': 126, 'SOLVED_FMB': 7}
[211] order5big_1684: THEOREM (60.2s)  running={'THEOREM': 78, 'LINEAR': 126, 'SOLVED_FMB': 7}
[212] order5big_1692: LINEAR (0.0s)  running={'THEOREM': 78, 'LINEAR': 127, 'SOLVED_FMB': 7}
[213] order5big_1700: LINEAR (0.0s)  running={'THEOREM': 78, 'LINEAR': 128, 'SOLVED_FMB': 7}
[214] order5big_1708: LINEAR (0.0s)  running={'THEOREM': 78, 'LINEAR': 129, 'SOLVED_FMB': 7}
[215] order5big_1716: LINEAR (0.0s)  running={'THEOREM': 78, 'LINEAR': 130, 'SOLVED_FMB': 7}
[216] order5big_1724: THEOREM (60.4s)  running={'THEOREM': 79, 'LINEAR': 130, 'SOLVED_FMB': 7}
[217] order5big_1732: THEOREM (60.2s)  running={'THEOREM': 80, 'LINEAR': 130, 'SOLVED_FMB': 7}
[218] order5big_1740: LINEAR (0.0s)  running={'THEOREM': 80, 'LINEAR': 131, 'SOLVED_FMB': 7}
[219] order5big_1748: THEOREM (60.8s)  running={'THEOREM': 81, 'LINEAR': 131, 'SOLVED_FMB': 7}
[220] order5big_1756: THEOREM (60.1s)  running={'THEOREM': 82, 'LINEAR': 131, 'SOLVED_FMB': 7}
[221] order5big_1764: LINEAR (0.0s)  running={'THEOREM': 82, 'LINEAR': 132, 'SOLVED_FMB': 7}
[222] order5big_1772: SOLVED_FMB (0.2s)  running={'THEOREM': 82, 'LINEAR': 132, 'SOLVED_FMB': 8}
[223] order5big_1780: LINEAR (0.0s)  running={'THEOREM': 82, 'LINEAR': 133, 'SOLVED_FMB': 8}
[224] order5big_1788: THEOREM (60.3s)  running={'THEOREM': 83, 'LINEAR': 133, 'SOLVED_FMB': 8}
[225] order5big_1796: THEOREM (60.5s)  running={'THEOREM': 84, 'LINEAR': 133, 'SOLVED_FMB': 8}
[226] order5big_1804: THEOREM (60.2s)  running={'THEOREM': 85, 'LINEAR': 133, 'SOLVED_FMB': 8}
[227] order5big_1812: LINEAR (0.0s)  running={'THEOREM': 85, 'LINEAR': 134, 'SOLVED_FMB': 8}
[228] order5big_1820: LINEAR (0.0s)  running={'THEOREM': 85, 'LINEAR': 135, 'SOLVED_FMB': 8}
[229] order5big_1828: THEOREM (60.2s)  running={'THEOREM': 86, 'LINEAR': 135, 'SOLVED_FMB': 8}
[230] order5big_1836: THEOREM (60.6s)  running={'THEOREM': 87, 'LINEAR': 135, 'SOLVED_FMB': 8}
[231] order5big_1844: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 136, 'SOLVED_FMB': 8}
[232] order5big_1852: THEOREM (60.4s)  running={'THEOREM': 88, 'LINEAR': 136, 'SOLVED_FMB': 8}
[233] order5big_1860: LINEAR (0.0s)  running={'THEOREM': 88, 'LINEAR': 137, 'SOLVED_FMB': 8}
[234] order5big_1868: SOLVED_FMB (0.1s)  running={'THEOREM': 88, 'LINEAR': 137, 'SOLVED_FMB': 9}
