nohup: ignoring input
[1] order5big_0002: THEOREM (62.2s)  running={'THEOREM': 1}
[44] order5big_0346: THEOREM (60.6s)  running={'THEOREM': 24, 'LINEAR': 19, 'SOLVED_FMB': 1}
[45] order5big_0354: THEOREM (60.2s)  running={'THEOREM': 25, 'LINEAR': 19, 'SOLVED_FMB': 1}
[46] order5big_0362: THEOREM (23.2s)  running={'THEOREM': 26, 'LINEAR': 19, 'SOLVED_FMB': 1}
[47] order5big_0370: THEOREM (60.2s)  running={'THEOREM': 27, 'LINEAR': 19, 'SOLVED_FMB': 1}
[48] order5big_0378: THEOREM (60.2s)  running={'THEOREM': 28, 'LINEAR': 19, 'SOLVED_FMB': 1}
[49] order5big_0386: LINEAR (0.0s)  running={'THEOREM': 28, 'LINEAR': 20, 'SOLVED_FMB': 1}
[50] order5big_0394: THEOREM (60.2s)  running={'THEOREM': 29, 'LINEAR': 20, 'SOLVED_FMB': 1}
[51] order5big_0402: LINEAR (0.0s)  running={'THEOREM': 29, 'LINEAR': 21, 'SOLVED_FMB': 1}
[52] order5big_0410: LINEAR (0.0s)  running={'THEOREM': 29, 'LINEAR': 22, 'SOLVED_FMB': 1}
[53] order5big_0418: THEOREM (60.2s)  running={'THEOREM': 30, 'LINEAR': 22, 'SOLVED_FMB': 1}
[54] order5big_0426: THEOREM (62.6s)  running={'THEOREM': 31, 'LINEAR': 22, 'SOLVED_FMB': 1}
[55] order5big_0434: THEOREM (60.3s)  running={'THEOREM': 32, 'LINEAR': 22, 'SOLVED_FMB': 1}
[56] order5big_0442: LINEAR (0.0s)  running={'THEOREM': 32, 'LINEAR': 23, 'SOLVED_FMB': 1}
[57] order5big_0450: THEOREM (73.1s)  running={'THEOREM': 33, 'LINEAR': 23, 'SOLVED_FMB': 1}
[58] order5big_0458: THEOREM (60.6s)  running={'THEOREM': 34, 'LINEAR': 23, 'SOLVED_FMB': 1}
[59] order5big_0466: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 24, 'SOLVED_FMB': 1}
[60] order5big_0474: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 25, 'SOLVED_FMB': 1}
[61] order5big_0482: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 26, 'SOLVED_FMB': 1}
[62] order5big_0490: THEOREM (60.4s)  running={'THEOREM': 35, 'LINEAR': 26, 'SOLVED_FMB': 1}
[63] order5big_0498: LINEAR (0.0s)  running={'THEOREM': 35, 'LINEAR': 27, 'SOLVED_FMB': 1}
[64] order5big_0506: THEOREM (60.5s)  running={'THEOREM': 36, 'LINEAR': 27, 'SOLVED_FMB': 1}
[65] order5big_0514: LINEAR (0.0s)  running={'THEOREM': 36, 'LINEAR': 28, 'SOLVED_FMB': 1}
[66] order5big_0522: LINEAR (0.0s)  running={'THEOREM': 36, 'LINEAR': 29, 'SOLVED_FMB': 1}
[67] order5big_0530: LINEAR (0.0s)  running={'THEOREM': 36, 'LINEAR': 30, 'SOLVED_FMB': 1}
[68] order5big_0538: THEOREM (65.3s)  running={'THEOREM': 37, 'LINEAR': 30, 'SOLVED_FMB': 1}
[69] order5big_0546: THEOREM (60.2s)  running={'THEOREM': 38, 'LINEAR': 30, 'SOLVED_FMB': 1}
[70] order5big_0554: THEOREM (60.8s)  running={'THEOREM': 39, 'LINEAR': 30, 'SOLVED_FMB': 1}
[71] order5big_0562: THEOREM (60.2s)  running={'THEOREM': 40, 'LINEAR': 30, 'SOLVED_FMB': 1}
[72] order5big_0570: LINEAR (0.0s)  running={'THEOREM': 40, 'LINEAR': 31, 'SOLVED_FMB': 1}
[73] order5big_0578: THEOREM (61.6s)  running={'THEOREM': 41, 'LINEAR': 31, 'SOLVED_FMB': 1}
[74] order5big_0586: LINEAR (0.0s)  running={'THEOREM': 41, 'LINEAR': 32, 'SOLVED_FMB': 1}
[75] order5big_0594: THEOREM (60.4s)  running={'THEOREM': 42, 'LINEAR': 32, 'SOLVED_FMB': 1}
[76] order5big_0602: LINEAR (0.0s)  running={'THEOREM': 42, 'LINEAR': 33, 'SOLVED_FMB': 1}
[77] order5big_0610: LINEAR (0.0s)  running={'THEOREM': 42, 'LINEAR': 34, 'SOLVED_FMB': 1}
[78] order5big_0618: THEOREM (60.2s)  running={'THEOREM': 43, 'LINEAR': 34, 'SOLVED_FMB': 1}
[79] order5big_0626: THEOREM (60.2s)  running={'THEOREM': 44, 'LINEAR': 34, 'SOLVED_FMB': 1}
[80] order5big_0634: THEOREM (60.7s)  running={'THEOREM': 45, 'LINEAR': 34, 'SOLVED_FMB': 1}
[81] order5big_0642: LINEAR (0.0s)  running={'THEOREM': 45, 'LINEAR': 35, 'SOLVED_FMB': 1}
[82] order5big_0650: SOLVED_FMB (1.9s)  running={'THEOREM': 45, 'LINEAR': 35, 'SOLVED_FMB': 2}
[83] order5big_0658: LINEAR (0.0s)  running={'THEOREM': 45, 'LINEAR': 36, 'SOLVED_FMB': 2}
[84] order5big_0666: THEOREM (60.2s)  running={'THEOREM': 46, 'LINEAR': 36, 'SOLVED_FMB': 2}
[85] order5big_0674: LINEAR (0.0s)  running={'THEOREM': 46, 'LINEAR': 37, 'SOLVED_FMB': 2}
[86] order5big_0682: LINEAR (0.0s)  running={'THEOREM': 46, 'LINEAR': 38, 'SOLVED_FMB': 2}
[87] order5big_0690: LINEAR (0.0s)  running={'THEOREM': 46, 'LINEAR': 39, 'SOLVED_FMB': 2}
[88] order5big_0698: LINEAR (0.0s)  running={'THEOREM': 46, 'LINEAR': 40, 'SOLVED_FMB': 2}
[89] order5big_0706: LINEAR (0.0s)  running={'THEOREM': 46, 'LINEAR': 41, 'SOLVED_FMB': 2}
[90] order5big_0714: THEOREM (60.4s)  running={'THEOREM': 47, 'LINEAR': 41, 'SOLVED_FMB': 2}
[91] order5big_0722: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 42, 'SOLVED_FMB': 2}
[92] order5big_0730: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 43, 'SOLVED_FMB': 2}
[93] order5big_0738: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 44, 'SOLVED_FMB': 2}
[94] order5big_0746: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 45, 'SOLVED_FMB': 2}
[95] order5big_0754: THEOREM (60.5s)  running={'THEOREM': 48, 'LINEAR': 45, 'SOLVED_FMB': 2}
[96] order5big_0762: THEOREM (60.2s)  running={'THEOREM': 49, 'LINEAR': 45, 'SOLVED_FMB': 2}
[97] order5big_0770: LINEAR (0.0s)  running={'THEOREM': 49, 'LINEAR': 46, 'SOLVED_FMB': 2}
[98] order5big_0778: LINEAR (0.0s)  running={'THEOREM': 49, 'LINEAR': 47, 'SOLVED_FMB': 2}
[99] order5big_0786: THEOREM (60.2s)  running={'THEOREM': 50, 'LINEAR': 47, 'SOLVED_FMB': 2}
[100] order5big_0794: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 48, 'SOLVED_FMB': 2}
[101] order5big_0802: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 49, 'SOLVED_FMB': 2}
[102] order5big_0810: THEOREM (60.6s)  running={'THEOREM': 51, 'LINEAR': 49, 'SOLVED_FMB': 2}
[103] order5big_0818: THEOREM (60.2s)  running={'THEOREM': 52, 'LINEAR': 49, 'SOLVED_FMB': 2}
[104] order5big_0826: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 50, 'SOLVED_FMB': 2}
[105] order5big_0834: SOLVED_FMB (0.2s)  running={'THEOREM': 52, 'LINEAR': 50, 'SOLVED_FMB': 3}
[106] order5big_0842: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 51, 'SOLVED_FMB': 3}
[107] order5big_0850: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 52, 'SOLVED_FMB': 3}
[108] order5big_0858: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 53, 'SOLVED_FMB': 3}
[109] order5big_0866: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 54, 'SOLVED_FMB': 3}
[110] order5big_0874: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 55, 'SOLVED_FMB': 3}
[111] order5big_0882: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 56, 'SOLVED_FMB': 3}
[112] order5big_0890: LINEAR (0.0s)  running={'THEOREM': 52, 'LINEAR': 57, 'SOLVED_FMB': 3}
[113] order5big_0898: THEOREM (60.2s)  running={'THEOREM': 53, 'LINEAR': 57, 'SOLVED_FMB': 3}
[114] order5big_0906: LINEAR (0.0s)  running={'THEOREM': 53, 'LINEAR': 58, 'SOLVED_FMB': 3}
[115] order5big_0914: THEOREM (60.7s)  running={'THEOREM': 54, 'LINEAR': 58, 'SOLVED_FMB': 3}
[116] order5big_0922: LINEAR (0.0s)  running={'THEOREM': 54, 'LINEAR': 59, 'SOLVED_FMB': 3}
[117] order5big_0930: THEOREM (60.2s)  running={'THEOREM': 55, 'LINEAR': 59, 'SOLVED_FMB': 3}
[118] order5big_0938: LINEAR (0.0s)  running={'THEOREM': 55, 'LINEAR': 60, 'SOLVED_FMB': 3}
[119] order5big_0946: THEOREM (60.2s)  running={'THEOREM': 56, 'LINEAR': 60, 'SOLVED_FMB': 3}
[120] order5big_0954: LINEAR (0.0s)  running={'THEOREM': 56, 'LINEAR': 61, 'SOLVED_FMB': 3}
[121] order5big_0962: LINEAR (0.0s)  running={'THEOREM': 56, 'LINEAR': 62, 'SOLVED_FMB': 3}
[122] order5big_0970: LINEAR (0.0s)  running={'THEOREM': 56, 'LINEAR': 63, 'SOLVED_FMB': 3}
[123] order5big_0978: LINEAR (0.0s)  running={'THEOREM': 56, 'LINEAR': 64, 'SOLVED_FMB': 3}
[124] order5big_0986: LINEAR (0.0s)  running={'THEOREM': 56, 'LINEAR': 65, 'SOLVED_FMB': 3}
[125] order5big_0994: THEOREM (60.2s)  running={'THEOREM': 57, 'LINEAR': 65, 'SOLVED_FMB': 3}
[126] order5big_1002: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 66, 'SOLVED_FMB': 3}
[127] order5big_1010: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 67, 'SOLVED_FMB': 3}
[128] order5big_1018: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 68, 'SOLVED_FMB': 3}
[129] order5big_1026: THEOREM (60.4s)  running={'THEOREM': 58, 'LINEAR': 68, 'SOLVED_FMB': 3}
[130] order5big_1034: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 69, 'SOLVED_FMB': 3}
[131] order5big_1042: THEOREM (62.8s)  running={'THEOREM': 59, 'LINEAR': 69, 'SOLVED_FMB': 3}
[132] order5big_1050: THEOREM (30.4s)  running={'THEOREM': 60, 'LINEAR': 69, 'SOLVED_FMB': 3}
[133] order5big_1058: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 70, 'SOLVED_FMB': 3}
[134] order5big_1066: THEOREM (60.2s)  running={'THEOREM': 61, 'LINEAR': 70, 'SOLVED_FMB': 3}
[135] order5big_1074: LINEAR (0.0s)  running={'THEOREM': 61, 'LINEAR': 71, 'SOLVED_FMB': 3}
[136] order5big_1082: LINEAR (0.0s)  running={'THEOREM': 61, 'LINEAR': 72, 'SOLVED_FMB': 3}
[137] order5big_1090: LINEAR (0.0s)  running={'THEOREM': 61, 'LINEAR': 73, 'SOLVED_FMB': 3}
[138] order5big_1098: THEOREM (60.2s)  running={'THEOREM': 62, 'LINEAR': 73, 'SOLVED_FMB': 3}
[139] order5big_1106: THEOREM (60.3s)  running={'THEOREM': 63, 'LINEAR': 73, 'SOLVED_FMB': 3}
[140] order5big_1114: LINEAR (0.0s)  running={'THEOREM': 63, 'LINEAR': 74, 'SOLVED_FMB': 3}
[141] order5big_1122: THEOREM (60.2s)  running={'THEOREM': 64, 'LINEAR': 74, 'SOLVED_FMB': 3}
[142] order5big_1130: THEOREM (60.5s)  running={'THEOREM': 65, 'LINEAR': 74, 'SOLVED_FMB': 3}
[143] order5big_1138: THEOREM (60.6s)  running={'THEOREM': 66, 'LINEAR': 74, 'SOLVED_FMB': 3}
[144] order5big_1146: LINEAR (0.0s)  running={'THEOREM': 66, 'LINEAR': 75, 'SOLVED_FMB': 3}
[145] order5big_1154: THEOREM (60.2s)  running={'THEOREM': 67, 'LINEAR': 75, 'SOLVED_FMB': 3}
[146] order5big_1162: LINEAR (0.0s)  running={'THEOREM': 67, 'LINEAR': 76, 'SOLVED_FMB': 3}
[147] order5big_1170: LINEAR (0.0s)  running={'THEOREM': 67, 'LINEAR': 77, 'SOLVED_FMB': 3}
[148] order5big_1178: LINEAR (0.0s)  running={'THEOREM': 67, 'LINEAR': 78, 'SOLVED_FMB': 3}
[149] order5big_1186: LINEAR (0.0s)  running={'THEOREM': 67, 'LINEAR': 79, 'SOLVED_FMB': 3}
[150] order5big_1194: THEOREM (60.1s)  running={'THEOREM': 68, 'LINEAR': 79, 'SOLVED_FMB': 3}
[151] order5big_1202: LINEAR (0.0s)  running={'THEOREM': 68, 'LINEAR': 80, 'SOLVED_FMB': 3}
[152] order5big_1210: LINEAR (0.0s)  running={'THEOREM': 68, 'LINEAR': 81, 'SOLVED_FMB': 3}
[153] order5big_1218: THEOREM (60.2s)  running={'THEOREM': 69, 'LINEAR': 81, 'SOLVED_FMB': 3}
[154] order5big_1226: LINEAR (0.0s)  running={'THEOREM': 69, 'LINEAR': 82, 'SOLVED_FMB': 3}
[155] order5big_1234: THEOREM (60.2s)  running={'THEOREM': 70, 'LINEAR': 82, 'SOLVED_FMB': 3}
[156] order5big_1242: LINEAR (0.0s)  running={'THEOREM': 70, 'LINEAR': 83, 'SOLVED_FMB': 3}
[157] order5big_1250: LINEAR (0.0s)  running={'THEOREM': 70, 'LINEAR': 84, 'SOLVED_FMB': 3}
[158] order5big_1258: THEOREM (60.2s)  running={'THEOREM': 71, 'LINEAR': 84, 'SOLVED_FMB': 3}
[159] order5big_1266: THEOREM (60.2s)  running={'THEOREM': 72, 'LINEAR': 84, 'SOLVED_FMB': 3}
[160] order5big_1274: LINEAR (0.0s)  running={'THEOREM': 72, 'LINEAR': 85, 'SOLVED_FMB': 3}
[161] order5big_1282: THEOREM (60.6s)  running={'THEOREM': 73, 'LINEAR': 85, 'SOLVED_FMB': 3}
[162] order5big_1290: LINEAR (0.0s)  running={'THEOREM': 73, 'LINEAR': 86, 'SOLVED_FMB': 3}
[163] order5big_1298: THEOREM (62.1s)  running={'THEOREM': 74, 'LINEAR': 86, 'SOLVED_FMB': 3}
[164] order5big_1306: THEOREM (73.0s)  running={'THEOREM': 75, 'LINEAR': 86, 'SOLVED_FMB': 3}
[165] order5big_1314: LINEAR (0.0s)  running={'THEOREM': 75, 'LINEAR': 87, 'SOLVED_FMB': 3}
[166] order5big_1322: LINEAR (0.0s)  running={'THEOREM': 75, 'LINEAR': 88, 'SOLVED_FMB': 3}
[167] order5big_1330: LINEAR (0.0s)  running={'THEOREM': 75, 'LINEAR': 89, 'SOLVED_FMB': 3}
[168] order5big_1338: LINEAR (0.0s)  running={'THEOREM': 75, 'LINEAR': 90, 'SOLVED_FMB': 3}
[169] order5big_1346: LINEAR (0.0s)  running={'THEOREM': 75, 'LINEAR': 91, 'SOLVED_FMB': 3}
[170] order5big_1354: LINEAR (0.0s)  running={'THEOREM': 75, 'LINEAR': 92, 'SOLVED_FMB': 3}
[171] order5big_1362: THEOREM (60.2s)  running={'THEOREM': 76, 'LINEAR': 92, 'SOLVED_FMB': 3}
[172] order5big_1370: LINEAR (0.0s)  running={'THEOREM': 76, 'LINEAR': 93, 'SOLVED_FMB': 3}
[173] order5big_1378: LINEAR (0.0s)  running={'THEOREM': 76, 'LINEAR': 94, 'SOLVED_FMB': 3}
[174] order5big_1386: THEOREM (60.2s)  running={'THEOREM': 77, 'LINEAR': 94, 'SOLVED_FMB': 3}
[175] order5big_1394: THEOREM (60.2s)  running={'THEOREM': 78, 'LINEAR': 94, 'SOLVED_FMB': 3}
[176] order5big_1402: THEOREM (60.4s)  running={'THEOREM': 79, 'LINEAR': 94, 'SOLVED_FMB': 3}
[177] order5big_1410: LINEAR (0.0s)  running={'THEOREM': 79, 'LINEAR': 95, 'SOLVED_FMB': 3}
[178] order5big_1418: THEOREM (60.2s)  running={'THEOREM': 80, 'LINEAR': 95, 'SOLVED_FMB': 3}
[179] order5big_1426: THEOREM (60.2s)  running={'THEOREM': 81, 'LINEAR': 95, 'SOLVED_FMB': 3}
[180] order5big_1434: THEOREM (60.6s)  running={'THEOREM': 82, 'LINEAR': 95, 'SOLVED_FMB': 3}
[181] order5big_1442: LINEAR (0.0s)  running={'THEOREM': 82, 'LINEAR': 96, 'SOLVED_FMB': 3}
[182] order5big_1450: LINEAR (0.0s)  running={'THEOREM': 82, 'LINEAR': 97, 'SOLVED_FMB': 3}
[183] order5big_1458: LINEAR (0.0s)  running={'THEOREM': 82, 'LINEAR': 98, 'SOLVED_FMB': 3}
[184] order5big_1466: THEOREM (60.3s)  running={'THEOREM': 83, 'LINEAR': 98, 'SOLVED_FMB': 3}
[185] order5big_1474: LINEAR (0.0s)  running={'THEOREM': 83, 'LINEAR': 99, 'SOLVED_FMB': 3}
[186] order5big_1482: LINEAR (0.1s)  running={'THEOREM': 83, 'LINEAR': 100, 'SOLVED_FMB': 3}
[187] order5big_1490: THEOREM (60.1s)  running={'THEOREM': 84, 'LINEAR': 100, 'SOLVED_FMB': 3}
[188] order5big_1498: LINEAR (0.0s)  running={'THEOREM': 84, 'LINEAR': 101, 'SOLVED_FMB': 3}
[189] order5big_1506: LINEAR (0.0s)  running={'THEOREM': 84, 'LINEAR': 102, 'SOLVED_FMB': 3}
[190] order5big_1514: LINEAR (0.0s)  running={'THEOREM': 84, 'LINEAR': 103, 'SOLVED_FMB': 3}
[191] order5big_1522: THEOREM (60.5s)  running={'THEOREM': 85, 'LINEAR': 103, 'SOLVED_FMB': 3}
[192] order5big_1530: THEOREM (60.3s)  running={'THEOREM': 86, 'LINEAR': 103, 'SOLVED_FMB': 3}
[193] order5big_1538: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 104, 'SOLVED_FMB': 3}
[194] order5big_1546: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 105, 'SOLVED_FMB': 3}
[195] order5big_1554: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 106, 'SOLVED_FMB': 3}
[196] order5big_1562: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 107, 'SOLVED_FMB': 3}
[197] order5big_1570: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 108, 'SOLVED_FMB': 3}
[198] order5big_1578: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 109, 'SOLVED_FMB': 3}
[199] order5big_1586: LINEAR (0.0s)  running={'THEOREM': 86, 'LINEAR': 110, 'SOLVED_FMB': 3}
[200] order5big_1594: THEOREM (201.2s)  running={'THEOREM': 87, 'LINEAR': 110, 'SOLVED_FMB': 3}
[201] order5big_1602: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 111, 'SOLVED_FMB': 3}
[202] order5big_1610: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 112, 'SOLVED_FMB': 3}
[203] order5big_1618: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 113, 'SOLVED_FMB': 3}
[204] order5big_1626: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 114, 'SOLVED_FMB': 3}
[205] order5big_1634: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 115, 'SOLVED_FMB': 3}
[206] order5big_1642: LINEAR (0.0s)  running={'THEOREM': 87, 'LINEAR': 116, 'SOLVED_FMB': 3}
[207] order5big_1650: THEOREM (60.2s)  running={'THEOREM': 88, 'LINEAR': 116, 'SOLVED_FMB': 3}
[208] order5big_1658: THEOREM (62.2s)  running={'THEOREM': 89, 'LINEAR': 116, 'SOLVED_FMB': 3}
[209] order5big_1666: LINEAR (0.0s)  running={'THEOREM': 89, 'LINEAR': 117, 'SOLVED_FMB': 3}
[210] order5big_1674: THEOREM (60.2s)  running={'THEOREM': 90, 'LINEAR': 117, 'SOLVED_FMB': 3}
[211] order5big_1682: LINEAR (0.0s)  running={'THEOREM': 90, 'LINEAR': 118, 'SOLVED_FMB': 3}
[212] order5big_1690: LINEAR (0.0s)  running={'THEOREM': 90, 'LINEAR': 119, 'SOLVED_FMB': 3}
[213] order5big_1698: LINEAR (0.0s)  running={'THEOREM': 90, 'LINEAR': 120, 'SOLVED_FMB': 3}
[214] order5big_1706: LINEAR (0.0s)  running={'THEOREM': 90, 'LINEAR': 121, 'SOLVED_FMB': 3}
[215] order5big_1714: LINEAR (0.0s)  running={'THEOREM': 90, 'LINEAR': 122, 'SOLVED_FMB': 3}
[216] order5big_1722: LINEAR (0.0s)  running={'THEOREM': 90, 'LINEAR': 123, 'SOLVED_FMB': 3}
[217] order5big_1730: THEOREM (60.4s)  running={'THEOREM': 91, 'LINEAR': 123, 'SOLVED_FMB': 3}
[218] order5big_1738: LINEAR (0.0s)  running={'THEOREM': 91, 'LINEAR': 124, 'SOLVED_FMB': 3}
[219] order5big_1746: THEOREM (64.7s)  running={'THEOREM': 92, 'LINEAR': 124, 'SOLVED_FMB': 3}
[220] order5big_1754: THEOREM (62.6s)  running={'THEOREM': 93, 'LINEAR': 124, 'SOLVED_FMB': 3}
[221] order5big_1762: THEOREM (61.1s)  running={'THEOREM': 94, 'LINEAR': 124, 'SOLVED_FMB': 3}
[222] order5big_1770: LINEAR (0.0s)  running={'THEOREM': 94, 'LINEAR': 125, 'SOLVED_FMB': 3}
[223] order5big_1778: THEOREM (60.2s)  running={'THEOREM': 95, 'LINEAR': 125, 'SOLVED_FMB': 3}
[224] order5big_1786: LINEAR (0.0s)  running={'THEOREM': 95, 'LINEAR': 126, 'SOLVED_FMB': 3}
[225] order5big_1794: THEOREM (60.2s)  running={'THEOREM': 96, 'LINEAR': 126, 'SOLVED_FMB': 3}
[226] order5big_1802: THEOREM (60.2s)  running={'THEOREM': 97, 'LINEAR': 126, 'SOLVED_FMB': 3}
[227] order5big_1810: LINEAR (0.0s)  running={'THEOREM': 97, 'LINEAR': 127, 'SOLVED_FMB': 3}
[228] order5big_1818: THEOREM (61.2s)  running={'THEOREM': 98, 'LINEAR': 127, 'SOLVED_FMB': 3}
[229] order5big_1826: LINEAR (0.0s)  running={'THEOREM': 98, 'LINEAR': 128, 'SOLVED_FMB': 3}
[230] order5big_1834: SOLVED_FMB (0.2s)  running={'THEOREM': 98, 'LINEAR': 128, 'SOLVED_FMB': 4}
[231] order5big_1842: LINEAR (0.0s)  running={'THEOREM': 98, 'LINEAR': 129, 'SOLVED_FMB': 4}
[232] order5big_1850: LINEAR (0.0s)  running={'THEOREM': 98, 'LINEAR': 130, 'SOLVED_FMB': 4}
[233] order5big_1858: SOLVED_FMB (1.1s)  running={'THEOREM': 98, 'LINEAR': 130, 'SOLVED_FMB': 5}
[234] order5big_1866: LINEAR (0.0s)  running={'THEOREM': 98, 'LINEAR': 131, 'SOLVED_FMB': 5}
[235] order5big_1874: LINEAR (0.0s)  running={'THEOREM': 98, 'LINEAR': 132, 'SOLVED_FMB': 5}
[236] order5big_1882: LINEAR (0.0s)  running={'THEOREM': 98, 'LINEAR': 133, 'SOLVED_FMB': 5}
[237] order5big_1890: THEOREM (60.2s)  running={'THEOREM': 99, 'LINEAR': 133, 'SOLVED_FMB': 5}
