nohup: ignoring input
[1] order5big_0005: LINEAR (0.0s)  running={'LINEAR': 1}
[25] order5big_0197: SOLVED_FMB (0.3s)  running={'LINEAR': 12, 'THEOREM': 11, 'SOLVED_FMB': 2}
[26] order5big_0205: THEOREM (60.2s)  running={'LINEAR': 12, 'THEOREM': 12, 'SOLVED_FMB': 2}
[27] order5big_0213: THEOREM (60.6s)  running={'LINEAR': 12, 'THEOREM': 13, 'SOLVED_FMB': 2}
[28] order5big_0221: THEOREM (60.4s)  running={'LINEAR': 12, 'THEOREM': 14, 'SOLVED_FMB': 2}
[29] order5big_0229: LINEAR (0.0s)  running={'LINEAR': 13, 'THEOREM': 14, 'SOLVED_FMB': 2}
[30] order5big_0237: THEOREM (60.2s)  running={'LINEAR': 13, 'THEOREM': 15, 'SOLVED_FMB': 2}
[31] order5big_0245: THEOREM (60.1s)  running={'LINEAR': 13, 'THEOREM': 16, 'SOLVED_FMB': 2}
[32] order5big_0253: THEOREM (60.2s)  running={'LINEAR': 13, 'THEOREM': 17, 'SOLVED_FMB': 2}
[33] order5big_0261: LINEAR (0.0s)  running={'LINEAR': 14, 'THEOREM': 17, 'SOLVED_FMB': 2}
[34] order5big_0269: HARD_NONLINEAR (120.2s)  running={'LINEAR': 14, 'THEOREM': 17, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[35] order5big_0277: LINEAR (0.0s)  running={'LINEAR': 15, 'THEOREM': 17, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[36] order5big_0285: LINEAR (0.0s)  running={'LINEAR': 16, 'THEOREM': 17, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[37] order5big_0293: LINEAR (0.0s)  running={'LINEAR': 17, 'THEOREM': 17, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[38] order5big_0301: LINEAR (0.0s)  running={'LINEAR': 18, 'THEOREM': 17, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[39] order5big_0309: THEOREM (60.5s)  running={'LINEAR': 18, 'THEOREM': 18, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[40] order5big_0317: LINEAR (0.0s)  running={'LINEAR': 19, 'THEOREM': 18, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[41] order5big_0325: LINEAR (0.0s)  running={'LINEAR': 20, 'THEOREM': 18, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[42] order5big_0333: LINEAR (0.0s)  running={'LINEAR': 21, 'THEOREM': 18, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[43] order5big_0341: THEOREM (60.7s)  running={'LINEAR': 21, 'THEOREM': 19, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[44] order5big_0349: LINEAR (0.0s)  running={'LINEAR': 22, 'THEOREM': 19, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[45] order5big_0357: SOLVED_FMB (12.3s)  running={'LINEAR': 22, 'THEOREM': 19, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[46] order5big_0365: LINEAR (0.0s)  running={'LINEAR': 23, 'THEOREM': 19, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[47] order5big_0373: LINEAR (0.0s)  running={'LINEAR': 24, 'THEOREM': 19, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[48] order5big_0381: THEOREM (60.2s)  running={'LINEAR': 24, 'THEOREM': 20, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[49] order5big_0389: LINEAR (0.0s)  running={'LINEAR': 25, 'THEOREM': 20, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[50] order5big_0397: LINEAR (0.0s)  running={'LINEAR': 26, 'THEOREM': 20, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[51] order5big_0405: THEOREM (60.5s)  running={'LINEAR': 26, 'THEOREM': 21, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[52] order5big_0413: THEOREM (60.2s)  running={'LINEAR': 26, 'THEOREM': 22, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[53] order5big_0421: LINEAR (0.0s)  running={'LINEAR': 27, 'THEOREM': 22, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[54] order5big_0429: LINEAR (0.0s)  running={'LINEAR': 28, 'THEOREM': 22, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[55] order5big_0437: THEOREM (60.5s)  running={'LINEAR': 28, 'THEOREM': 23, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[56] order5big_0445: LINEAR (0.0s)  running={'LINEAR': 29, 'THEOREM': 23, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[57] order5big_0453: LINEAR (0.0s)  running={'LINEAR': 30, 'THEOREM': 23, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[58] order5big_0461: THEOREM (53.7s)  running={'LINEAR': 30, 'THEOREM': 24, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[59] order5big_0469: THEOREM (60.9s)  running={'LINEAR': 30, 'THEOREM': 25, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[60] order5big_0477: LINEAR (0.0s)  running={'LINEAR': 31, 'THEOREM': 25, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[61] order5big_0485: THEOREM (60.2s)  running={'LINEAR': 31, 'THEOREM': 26, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[62] order5big_0493: LINEAR (0.0s)  running={'LINEAR': 32, 'THEOREM': 26, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[63] order5big_0501: LINEAR (0.0s)  running={'LINEAR': 33, 'THEOREM': 26, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[64] order5big_0509: THEOREM (211.4s)  running={'LINEAR': 33, 'THEOREM': 27, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[65] order5big_0517: LINEAR (0.0s)  running={'LINEAR': 34, 'THEOREM': 27, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[66] order5big_0525: LINEAR (0.0s)  running={'LINEAR': 35, 'THEOREM': 27, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[67] order5big_0533: THEOREM (60.2s)  running={'LINEAR': 35, 'THEOREM': 28, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[68] order5big_0541: LINEAR (0.0s)  running={'LINEAR': 36, 'THEOREM': 28, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[69] order5big_0549: SOLVED_FMB (12.0s)  running={'LINEAR': 36, 'THEOREM': 28, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[70] order5big_0557: THEOREM (60.3s)  running={'LINEAR': 36, 'THEOREM': 29, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[71] order5big_0565: LINEAR (0.0s)  running={'LINEAR': 37, 'THEOREM': 29, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[72] order5big_0573: LINEAR (0.0s)  running={'LINEAR': 38, 'THEOREM': 29, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[73] order5big_0581: LINEAR (0.0s)  running={'LINEAR': 39, 'THEOREM': 29, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[74] order5big_0589: LINEAR (0.0s)  running={'LINEAR': 40, 'THEOREM': 29, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[75] order5big_0597: LINEAR (0.0s)  running={'LINEAR': 41, 'THEOREM': 29, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[76] order5big_0605: THEOREM (60.2s)  running={'LINEAR': 41, 'THEOREM': 30, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[77] order5big_0613: LINEAR (0.0s)  running={'LINEAR': 42, 'THEOREM': 30, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[78] order5big_0621: LINEAR (0.0s)  running={'LINEAR': 43, 'THEOREM': 30, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[79] order5big_0629: LINEAR (0.0s)  running={'LINEAR': 44, 'THEOREM': 30, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[80] order5big_0637: LINEAR (0.0s)  running={'LINEAR': 45, 'THEOREM': 30, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[81] order5big_0645: LINEAR (0.0s)  running={'LINEAR': 46, 'THEOREM': 30, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[82] order5big_0653: THEOREM (60.2s)  running={'LINEAR': 46, 'THEOREM': 31, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[83] order5big_0661: THEOREM (60.8s)  running={'LINEAR': 46, 'THEOREM': 32, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[84] order5big_0669: THEOREM (60.2s)  running={'LINEAR': 46, 'THEOREM': 33, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[85] order5big_0677: THEOREM (61.3s)  running={'LINEAR': 46, 'THEOREM': 34, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[86] order5big_0685: LINEAR (0.0s)  running={'LINEAR': 47, 'THEOREM': 34, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[87] order5big_0693: HARD_NONLINEAR (120.1s)  running={'LINEAR': 47, 'THEOREM': 34, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[88] order5big_0701: THEOREM (72.4s)  running={'LINEAR': 47, 'THEOREM': 35, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[89] order5big_0709: THEOREM (63.2s)  running={'LINEAR': 47, 'THEOREM': 36, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[90] order5big_0717: LINEAR (0.0s)  running={'LINEAR': 48, 'THEOREM': 36, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[91] order5big_0725: THEOREM (60.2s)  running={'LINEAR': 48, 'THEOREM': 37, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[92] order5big_0733: THEOREM (72.8s)  running={'LINEAR': 48, 'THEOREM': 38, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[93] order5big_0741: LINEAR (0.0s)  running={'LINEAR': 49, 'THEOREM': 38, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[94] order5big_0749: THEOREM (60.2s)  running={'LINEAR': 49, 'THEOREM': 39, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[95] order5big_0757: LINEAR (0.0s)  running={'LINEAR': 50, 'THEOREM': 39, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[96] order5big_0765: LINEAR (0.0s)  running={'LINEAR': 51, 'THEOREM': 39, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[97] order5big_0773: LINEAR (0.0s)  running={'LINEAR': 52, 'THEOREM': 39, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[98] order5big_0781: THEOREM (60.3s)  running={'LINEAR': 52, 'THEOREM': 40, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[99] order5big_0789: LINEAR (0.0s)  running={'LINEAR': 53, 'THEOREM': 40, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[100] order5big_0797: THEOREM (60.2s)  running={'LINEAR': 53, 'THEOREM': 41, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[101] order5big_0805: LINEAR (0.0s)  running={'LINEAR': 54, 'THEOREM': 41, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[102] order5big_0813: LINEAR (0.0s)  running={'LINEAR': 55, 'THEOREM': 41, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[103] order5big_0821: LINEAR (0.0s)  running={'LINEAR': 56, 'THEOREM': 41, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[104] order5big_0829: THEOREM (60.6s)  running={'LINEAR': 56, 'THEOREM': 42, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[105] order5big_0837: LINEAR (0.0s)  running={'LINEAR': 57, 'THEOREM': 42, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[106] order5big_0845: THEOREM (60.2s)  running={'LINEAR': 57, 'THEOREM': 43, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[107] order5big_0853: LINEAR (0.0s)  running={'LINEAR': 58, 'THEOREM': 43, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[108] order5big_0861: THEOREM (60.2s)  running={'LINEAR': 58, 'THEOREM': 44, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[109] order5big_0869: LINEAR (0.0s)  running={'LINEAR': 59, 'THEOREM': 44, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[110] order5big_0877: THEOREM (62.1s)  running={'LINEAR': 59, 'THEOREM': 45, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 2}
[111] order5big_0885: SOLVED_FMB (23.4s)  running={'LINEAR': 59, 'THEOREM': 45, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 2}
[112] order5big_0893: THEOREM (0.6s)  running={'LINEAR': 59, 'THEOREM': 46, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 2}
[113] order5big_0901: LINEAR (0.0s)  running={'LINEAR': 60, 'THEOREM': 46, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 2}
[114] order5big_0909: THEOREM (60.2s)  running={'LINEAR': 60, 'THEOREM': 47, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 2}
[115] order5big_0917: SOLVED_FMB (12.5s)  running={'LINEAR': 60, 'THEOREM': 47, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[116] order5big_0925: LINEAR (0.0s)  running={'LINEAR': 61, 'THEOREM': 47, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[117] order5big_0933: THEOREM (60.1s)  running={'LINEAR': 61, 'THEOREM': 48, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[118] order5big_0941: THEOREM (60.2s)  running={'LINEAR': 61, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[119] order5big_0949: LINEAR (0.0s)  running={'LINEAR': 62, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[120] order5big_0957: LINEAR (0.0s)  running={'LINEAR': 63, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[121] order5big_0965: LINEAR (0.0s)  running={'LINEAR': 64, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[122] order5big_0973: LINEAR (0.0s)  running={'LINEAR': 65, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[123] order5big_0981: LINEAR (0.0s)  running={'LINEAR': 66, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[124] order5big_0989: LINEAR (0.0s)  running={'LINEAR': 67, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[125] order5big_0997: LINEAR (0.0s)  running={'LINEAR': 68, 'THEOREM': 49, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[126] order5big_1005: THEOREM (60.2s)  running={'LINEAR': 68, 'THEOREM': 50, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[127] order5big_1013: LINEAR (0.0s)  running={'LINEAR': 69, 'THEOREM': 50, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 2}
[128] order5big_1021: SOLVED_FMB (0.3s)  running={'LINEAR': 69, 'THEOREM': 50, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[129] order5big_1029: THEOREM (60.5s)  running={'LINEAR': 69, 'THEOREM': 51, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[130] order5big_1037: LINEAR (0.0s)  running={'LINEAR': 70, 'THEOREM': 51, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[131] order5big_1045: LINEAR (0.0s)  running={'LINEAR': 71, 'THEOREM': 51, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[132] order5big_1053: LINEAR (0.0s)  running={'LINEAR': 72, 'THEOREM': 51, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[133] order5big_1061: LINEAR (0.0s)  running={'LINEAR': 73, 'THEOREM': 51, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[134] order5big_1069: LINEAR (0.0s)  running={'LINEAR': 74, 'THEOREM': 51, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[135] order5big_1077: THEOREM (60.2s)  running={'LINEAR': 74, 'THEOREM': 52, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[136] order5big_1085: THEOREM (60.2s)  running={'LINEAR': 74, 'THEOREM': 53, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[137] order5big_1093: LINEAR (0.0s)  running={'LINEAR': 75, 'THEOREM': 53, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[138] order5big_1101: THEOREM (60.2s)  running={'LINEAR': 75, 'THEOREM': 54, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[139] order5big_1109: THEOREM (60.5s)  running={'LINEAR': 75, 'THEOREM': 55, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[140] order5big_1117: THEOREM (60.2s)  running={'LINEAR': 75, 'THEOREM': 56, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[141] order5big_1125: THEOREM (60.3s)  running={'LINEAR': 75, 'THEOREM': 57, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[142] order5big_1133: THEOREM (60.6s)  running={'LINEAR': 75, 'THEOREM': 58, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[143] order5big_1141: LINEAR (0.0s)  running={'LINEAR': 76, 'THEOREM': 58, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[144] order5big_1149: LINEAR (0.0s)  running={'LINEAR': 77, 'THEOREM': 58, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[145] order5big_1157: LINEAR (0.0s)  running={'LINEAR': 78, 'THEOREM': 58, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[146] order5big_1165: THEOREM (60.2s)  running={'LINEAR': 78, 'THEOREM': 59, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[147] order5big_1173: LINEAR (0.0s)  running={'LINEAR': 79, 'THEOREM': 59, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[148] order5big_1181: LINEAR (0.0s)  running={'LINEAR': 80, 'THEOREM': 59, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[149] order5big_1189: LINEAR (0.0s)  running={'LINEAR': 81, 'THEOREM': 59, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[150] order5big_1197: THEOREM (60.2s)  running={'LINEAR': 81, 'THEOREM': 60, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[151] order5big_1205: LINEAR (0.0s)  running={'LINEAR': 82, 'THEOREM': 60, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[152] order5big_1213: LINEAR (0.0s)  running={'LINEAR': 83, 'THEOREM': 60, 'SOLVED_FMB': 7, 'HARD_NONLINEAR': 2}
[153] order5big_1221: SOLVED_FMB (1.2s)  running={'LINEAR': 83, 'THEOREM': 60, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[154] order5big_1229: THEOREM (60.2s)  running={'LINEAR': 83, 'THEOREM': 61, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[155] order5big_1237: LINEAR (0.0s)  running={'LINEAR': 84, 'THEOREM': 61, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[156] order5big_1245: THEOREM (60.2s)  running={'LINEAR': 84, 'THEOREM': 62, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[157] order5big_1253: LINEAR (0.0s)  running={'LINEAR': 85, 'THEOREM': 62, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[158] order5big_1261: THEOREM (60.3s)  running={'LINEAR': 85, 'THEOREM': 63, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[159] order5big_1269: LINEAR (0.0s)  running={'LINEAR': 86, 'THEOREM': 63, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[160] order5big_1277: LINEAR (0.0s)  running={'LINEAR': 87, 'THEOREM': 63, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[161] order5big_1285: LINEAR (0.0s)  running={'LINEAR': 88, 'THEOREM': 63, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[162] order5big_1293: LINEAR (0.0s)  running={'LINEAR': 89, 'THEOREM': 63, 'SOLVED_FMB': 8, 'HARD_NONLINEAR': 2}
[163] order5big_1301: SOLVED_FMB (2.0s)  running={'LINEAR': 89, 'THEOREM': 63, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[164] order5big_1309: LINEAR (0.0s)  running={'LINEAR': 90, 'THEOREM': 63, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[165] order5big_1317: THEOREM (60.2s)  running={'LINEAR': 90, 'THEOREM': 64, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[166] order5big_1325: THEOREM (60.2s)  running={'LINEAR': 90, 'THEOREM': 65, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[167] order5big_1333: LINEAR (0.0s)  running={'LINEAR': 91, 'THEOREM': 65, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[168] order5big_1341: THEOREM (60.2s)  running={'LINEAR': 91, 'THEOREM': 66, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[169] order5big_1349: LINEAR (0.0s)  running={'LINEAR': 92, 'THEOREM': 66, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[170] order5big_1357: LINEAR (0.0s)  running={'LINEAR': 93, 'THEOREM': 66, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[171] order5big_1365: THEOREM (60.3s)  running={'LINEAR': 93, 'THEOREM': 67, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[172] order5big_1373: THEOREM (60.5s)  running={'LINEAR': 93, 'THEOREM': 68, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[173] order5big_1381: LINEAR (0.0s)  running={'LINEAR': 94, 'THEOREM': 68, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[174] order5big_1389: LINEAR (0.0s)  running={'LINEAR': 95, 'THEOREM': 68, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[175] order5big_1397: LINEAR (0.0s)  running={'LINEAR': 96, 'THEOREM': 68, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[176] order5big_1405: THEOREM (60.2s)  running={'LINEAR': 96, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[177] order5big_1413: LINEAR (0.0s)  running={'LINEAR': 97, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[178] order5big_1421: LINEAR (0.0s)  running={'LINEAR': 98, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[179] order5big_1429: LINEAR (0.0s)  running={'LINEAR': 99, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[180] order5big_1437: LINEAR (0.0s)  running={'LINEAR': 100, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[181] order5big_1445: LINEAR (0.0s)  running={'LINEAR': 101, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[182] order5big_1453: LINEAR (0.0s)  running={'LINEAR': 102, 'THEOREM': 69, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[183] order5big_1461: THEOREM (60.1s)  running={'LINEAR': 102, 'THEOREM': 70, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[184] order5big_1469: LINEAR (0.0s)  running={'LINEAR': 103, 'THEOREM': 70, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[185] order5big_1477: LINEAR (0.0s)  running={'LINEAR': 104, 'THEOREM': 70, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[186] order5big_1485: THEOREM (60.2s)  running={'LINEAR': 104, 'THEOREM': 71, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[187] order5big_1493: LINEAR (0.0s)  running={'LINEAR': 105, 'THEOREM': 71, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
[188] order5big_1501: LINEAR (0.0s)  running={'LINEAR': 106, 'THEOREM': 71, 'SOLVED_FMB': 9, 'HARD_NONLINEAR': 2}
